,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km
0,311480.0,131.63,2,30.082621,59.724677,28.29,47.0
1,254997.0,145.1,5,30.316138,59.911854,1.73,55.0
2,353742.0,73.5,7,30.301127,59.912368,3.13,55.0
3,190000.0,33.9,9,30.449978,59.956836,13.7,15.0
4,166667.0,89.4,5,30.325543,59.926372,0.5,26.0
5,367200.0,95.82,7,30.268635,59.943372,6.53,33.0
7,387600.0,57.61,7,30.268635,59.943372,6.53,33.0
8,387600.0,63.92,7,30.268635,59.943372,6.53,33.0
9,317646.0,57.91,9,30.404316,59.938175,8.57,17.0
10,317645.0,66.27,9,30.404316,59.938175,8.57,17.0
11,317646.0,58.88,9,30.404316,59.938175,8.57,17.0
12,306897.0,82.24,9,30.404316,59.938175,8.57,17.0
13,343300.0,90.09,9,30.404316,59.938175,8.57,17.0
14,317646.0,54.59,9,30.404316,59.938175,8.57,17.0
15,332897.0,69.77,9,30.404316,59.938175,8.57,17.0
16,364357.0,78.22,9,30.404316,59.938175,8.57,17.0
17,255556.0,72.0,20,30.230537,60.035962,11.73,82.0
18,304000.0,61.63,13,30.377394,60.017499,7.12,42.0
19,250000.0,68.79,13,30.377394,60.017499,7.12,42.0
20,246967.0,51.1,16,30.368563,59.885142,5.32,17.0
21,247500.0,45.2,16,30.368563,59.885142,5.32,17.0
22,171429.0,175.0,10,30.469974,59.911101,15.93,35.0
23,109295.0,73.7,23,30.360434,60.042779,6.79,51.0
24,109300.0,68.5,23,30.360434,60.042779,6.79,51.0
25,350000.0,60.0,25,30.199195,60.038573,14.97,9.0
27,287500.0,20.0,1,30.37009,59.932811,4.76,57.0
28,254546.0,192.5,26,30.356625,59.839642,6.03,71.0
29,136364.0,4.4,1,30.342404,59.905357,2.3,77.0
30,134546.0,55.0,1,30.349627,59.932202,2.49,28.0
32,165000.0,145.8,9,30.157064,59.840438,19.34,87.0
33,128988.0,72.1,9,30.447813,59.95593,13.45,16.0
34,84877.0,64.8,1,30.472355,59.929687,16.14,39.0
36,325204.0,110.7,25,30.269021,60.057774,8.79,34.0
37,89091.0,55.0,1,30.386727,59.947041,6.64,27.0
40,143917.0,67.4,5,30.302663,59.968633,3.21,40.0
41,234542.0,37.52,14,30.372291,59.831173,7.51,26.0
43,246053.0,76.0,2,30.363075,60.052483,7.4,42.0
44,313721.0,43.0,5,30.348297,59.945544,2.4,23.0
45,180018.0,116.1,14,30.361844,59.809202,7.74,24.0
47,77028.0,37.0,1,30.375516,59.936282,5.36,50.0
50,358572.0,70.0,25,30.21558,59.984278,12.62,101.0
52,250000.0,60.0,5,30.379343,59.857418,7.16,90.0
53,134365.0,122.8,1,30.325211,59.91784,0.93,38.0
54,250000.0,78.0,13,30.327043,59.991804,2.91,84.0
55,362319.0,165.6,11,30.329451,59.985462,2.6,84.0
56,198796.0,83.0,25,30.377618,59.802418,9.1,22.0
59,235563.0,65.8,1,30.368141,59.935367,4.54,42.0
60,147778.0,27.0,5,30.350274,59.916618,2.74,56.0
61,254181.0,59.8,28,30.340985,60.075016,7.44,51.0
62,223614.0,111.8,6,30.289224,59.922914,4.28,71.0
63,200000.0,39.0,9,30.474008,59.862352,16.86,34.0
64,242967.0,39.1,6,30.294192,59.920303,3.76,56.0
65,222930.0,47.1,17,30.223512,60.02793,12.3,63.0
66,74075.0,145.8,8,30.25551,59.937269,7.98,48.0
68,173549.0,155.0,25,30.382658,59.803671,9.43,14.0
69,117284.0,32.4,6,30.373836,59.933645,5.18,60.0
70,229167.0,144.0,8,30.327079,59.961854,1.36,38.0
72,209000.0,78.3,4,30.107827,59.834189,24.72,32.0
73,334030.0,47.9,3,30.359679,59.918526,3.71,46.0
74,235656.0,48.8,4,30.345863,59.925146,2.14,59.0
76,225371.0,155.3,17,30.311143,60.014832,4.41,53.0
77,393058.0,113.8,10,30.15012,59.861038,19.94,73.0
80,305703.0,170.1,14,30.31329,59.866468,3.84,84.0
81,363381.0,35.5,6,30.37566,59.925453,5.41,73.0
82,293399.0,163.6,12,30.327582,60.033499,5.06,97.0
83,315910.0,44.0,5,30.379343,59.857418,7.16,90.0
85,226416.0,53.0,1,30.302699,59.922792,2.81,64.0
86,160126.0,63.7,25,30.375507,59.802929,8.92,26.0
87,198006.0,98.0,24,30.511773,59.866274,20.93,17.0
88,415163.0,55.4,5,30.330232,59.854567,4.19,35.0
89,239094.0,119.2,6,30.346096,59.918652,2.27,73.0
90,341837.0,49.0,12,30.488551,59.951506,17.96,26.0
91,431894.0,30.1,5,30.31002,59.851467,4.67,80.0
92,139634.0,185.7,11,30.387329,59.982154,7.15,56.0
93,225353.0,106.5,6,30.255079,59.947306,8.05,57.0
94,180996.0,44.2,1,30.329819,59.915156,1.09,35.0
95,115385.0,65.0,1,30.304873,59.926607,2.53,48.0
97,125579.0,151.3,1,30.319309,59.931265,0.91,18.0
99,268241.0,93.2,15,30.252896,59.955939,8.33,52.0
101,33750.0,8.0,12,30.378678,59.855331,7.17,89.0
102,237038.0,162.0,5,30.306553,59.970736,2.91,58.0
103,297710.0,65.5,5,30.396699,59.85365,8.93,42.0
104,278689.0,61.0,7,30.304792,59.954628,2.68,46.0
105,168750.0,160.0,20,30.433565,59.935205,11.82,38.0
106,237763.0,143.0,2,30.364781,60.052272,7.5,41.0
107,227273.0,110.0,2,30.364781,60.052272,7.5,41.0
108,202454.0,81.5,4,30.34253,59.908222,2.21,79.0
109,219303.0,63.1,23,30.321285,60.081722,7.52,11.0
111,131250.0,80.0,1,30.307065,59.919725,2.38,66.0
112,187500.0,4.0,1,30.463461,59.895551,15.32,36.0
114,198238.0,22.7,1,30.361898,59.944111,3.88,37.0
115,135431.0,151.0,1,30.358493,59.918151,3.59,36.0
117,428572.0,28.0,9,30.374124,59.869562,6.3,82.0
118,440741.0,27.0,7,30.346016,59.92023,2.23,73.0
121,257900.0,71.9,24,30.277061,60.059683,8.26,28.0
122,175420.0,57.63,5,30.626928,59.753645,35.29,12.0
123,250000.0,121.0,4,30.430933,59.925335,11.54,27.0
124,250000.0,143.0,4,30.430933,59.925335,11.54,27.0
128,319728.0,73.5,7,30.302124,59.912414,3.03,58.0
129,235000.0,137.2,17,30.334391,59.987753,2.83,71.0
130,201500.0,106.7,13,30.336574,59.988469,2.95,66.0
131,246700.0,143.9,6,30.326998,59.956444,1.08,33.0
132,107213.0,102.6,1,30.38167,59.933947,6.05,63.0
133,146079.0,102.0,5,30.288658,59.912589,4.44,52.0
134,184714.0,62.8,10,30.364799,60.043848,7.13,53.0
135,178904.0,96.7,4,30.158834,59.998405,18.92,17.0
136,450000.0,126.47,11,30.338083,59.880582,3.1,19.0
137,245902.0,183.0,1,30.31108,59.870849,3.74,77.0
139,262998.0,130.1,26,30.363012,60.044469,7.04,52.0
140,352031.0,51.7,4,30.302555,59.949555,2.84,38.0
141,124546.0,110.0,1,30.297974,59.9308,3.27,53.0
143,232121.0,79.7,1,30.377268,59.933068,5.56,55.0
144,141026.0,39.0,5,30.338254,59.927806,1.28,55.0
145,179311.0,182.7,3,30.333466,60.039436,5.44,79.0
146,122728.0,110.0,9,30.41153,59.951132,9.41,25.0
147,450000.0,99.27,11,30.338083,59.880582,3.1,19.0
148,400000.0,56.04,11,30.338083,59.880582,3.1,19.0
149,450000.0,84.02,11,30.338083,59.880582,3.1,19.0
150,180000.0,70.0,25,30.364045,59.811609,7.76,31.0
151,199571.0,46.6,25,30.375507,59.802929,8.92,26.0
152,182836.0,53.6,25,30.375507,59.802929,8.92,26.0
153,255103.0,98.0,25,30.375507,59.802929,8.92,26.0
155,161268.0,142.0,14,30.361844,59.809202,7.74,24.0
156,143199.0,41.9,1,30.316326,59.909779,1.79,58.0
157,178723.0,111.9,1,30.314817,59.904189,2.11,72.0
161,218151.0,171.9,3,30.369012,59.929853,4.65,53.0
162,236221.0,25.4,5,30.297156,59.956899,3.52,48.0
163,300000.0,24.0,7,30.319848,59.855304,4.18,55.0
165,59091.0,55.0,4,30.360766,59.920086,3.81,47.0
166,40164.0,122.0,5,30.342692,59.91692,1.97,79.0
167,218636.0,82.1,5,30.351684,59.924167,2.78,41.0
168,396154.0,13.0,5,30.359077,59.928843,3.55,34.0
170,194772.0,76.5,16,30.51878,59.831282,22.19,18.0
171,241667.0,12.0,4,30.350795,59.921056,2.72,50.0
172,52546.0,55.0,1,30.356346,59.940875,3.25,31.0
173,99656.0,29.0,1,30.388748,59.945855,6.86,24.0
174,287340.0,70.3,14,30.334957,60.035535,5.27,65.0
177,166000.0,186.3,14,30.362015,59.807106,7.84,23.0
179,175000.0,93.3,14,30.362015,59.807106,7.84,23.0
180,118933.0,20.6,9,30.367467,60.051167,7.63,39.0
181,267606.0,35.5,5,30.323279,59.913447,1.21,40.0
182,72464.0,158.7,1,30.284526,59.920082,4.81,50.0
184,179834.0,60.0,5,30.344336,60.072094,7.4,53.0
185,287540.0,156.5,1,30.296473,59.918647,3.53,55.0
186,307930.0,97.1,1,30.405727,60.032919,10.25,65.0
187,220351.0,62.8,23,30.319785,60.077463,7.31,26.0
192,377114.0,153.8,1,30.362374,59.937121,3.9,32.0
193,384115.0,76.8,4,30.306912,59.924555,2.33,45.0
194,221154.0,26.0,14,30.333619,59.982059,2.52,66.0
195,372943.0,121.0,3,30.245566,59.963066,9.18,40.0
199,153077.0,65.0,7,30.283187,59.983265,5.44,41.0
200,241434.0,64.2,9,30.233529,59.949956,10.45,63.0
202,155618.0,89.9,1,30.21664,59.958814,12.35,82.0
203,128429.0,70.0,1,30.222183,59.958386,11.73,93.0
204,236140.0,48.7,7,30.446474,59.873266,13.72,19.0
205,138889.0,18.0,8,30.314296,59.912774,1.85,61.0
206,352942.0,170.0,5,30.361134,59.940785,3.78,27.0
208,297946.0,146.0,14,30.41594,59.847268,11.01,41.0
210,334928.0,72.0,25,30.220988,59.861503,12.3,36.0
211,216473.0,73.0,25,30.449376,60.002517,14.11,10.0
212,254879.0,82.0,25,30.225039,60.035495,12.27,68.0
213,222756.0,87.0,13,30.336987,60.029162,4.99,58.0
214,287064.0,89.0,16,30.258906,60.070796,10.0,12.0
215,258823.0,117.0,16,30.258906,60.070796,10.0,12.0
216,404510.0,128.0,10,30.370387,59.940776,4.8,31.0
217,235344.0,137.0,16,30.334391,59.987753,2.83,71.0
218,285839.0,102.0,26,30.451577,59.899004,13.98,34.0
224,332414.0,145.0,5,30.322066,59.926805,0.73,30.0
225,331819.0,132.0,5,30.322066,59.926805,0.73,30.0
226,304055.0,23.68,12,30.312446,59.902154,2.36,67.0
227,301887.0,18.55,12,30.312446,59.902154,2.36,67.0
228,297873.0,47.0,12,30.312446,59.902154,2.36,67.0
229,307229.0,83.0,5,30.437455,59.880356,12.64,25.0
230,165968.0,62.0,5,30.344336,60.072094,7.4,53.0
232,174937.0,157.2,3,30.361889,59.900006,4.29,31.0
234,158537.0,32.8,18,30.331535,60.017292,4.26,75.0
235,388754.0,40.9,5,30.509186,59.831548,21.15,31.0
236,285063.0,87.7,1,30.373612,59.936589,5.15,42.0
237,220339.0,70.8,13,30.41594,59.847268,11.01,41.0
239,380000.0,50.0,8,30.392297,59.942268,7.24,22.0
242,112500.0,120.0,1,30.297974,59.9308,3.27,53.0
243,202778.0,18.0,20,30.351316,60.078365,7.99,30.0
244,340000.0,92.88,11,30.378714,60.018349,7.26,41.0
245,340000.0,97.62,13,30.378714,60.018349,7.26,41.0
246,340000.0,77.3,13,30.378714,60.018349,7.26,41.0
247,340000.0,77.92,11,30.378714,60.018349,7.26,41.0
250,346154.0,13.0,3,30.339143,59.924325,1.44,65.0
251,312500.0,112.0,4,30.314161,59.935858,1.46,29.0
252,88815.0,135.0,1,30.21664,59.958814,12.35,82.0
253,300000.0,14.0,1,30.286619,59.926706,4.54,76.0
254,300000.0,148.8,11,30.331741,59.977012,2.21,75.0
255,177420.0,62.0,4,30.443096,59.885002,13.19,17.0
256,200000.0,77.0,25,30.474367,60.018102,17.05,18.0
257,366327.0,98.0,8,30.317844,59.907338,1.78,53.0
258,350000.0,145.3,21,30.306849,59.998058,3.9,62.0
260,225625.0,109.33,1,30.288496,59.911759,4.47,46.0
261,299726.0,88.35,1,30.35128,59.967502,3.16,57.0
262,305615.0,84.01,1,30.35128,59.967502,3.16,57.0
263,323666.0,70.75,1,30.35128,59.967502,3.16,57.0
264,323665.0,71.45,1,30.35128,59.967502,3.16,57.0
265,323666.0,68.7,1,30.35128,59.967502,3.16,57.0
266,329650.0,63.54,1,30.35128,59.967502,3.16,57.0
267,317585.0,76.13,1,30.35128,59.967502,3.16,57.0
268,368623.0,124.7,1,30.310128,59.987226,3.25,84.0
269,368623.0,139.8,1,30.310128,59.987226,3.25,84.0
270,357085.0,127.6,1,30.310128,59.987226,3.25,84.0
271,351348.0,108.1,1,30.310128,59.987226,3.25,84.0
272,301457.0,128.1,1,30.245728,59.962048,9.16,41.0
273,301457.0,130.4,1,30.245728,59.962048,9.16,41.0
274,333313.0,165.1,1,30.245728,59.962048,9.16,41.0
275,332895.0,83.8,1,30.245728,59.962048,9.16,41.0
276,332895.0,82.1,1,30.245728,59.962048,9.16,41.0
277,301457.0,180.5,1,30.245728,59.962048,9.16,41.0
278,301457.0,170.0,1,30.245728,59.962048,9.16,41.0
279,338375.0,111.0,1,30.245728,59.962048,9.16,41.0
280,306083.0,197.3,1,30.245728,59.962048,9.16,41.0
281,322432.0,112.4,1,30.245728,59.962048,9.16,41.0
282,332895.0,76.7,1,30.245728,59.962048,9.16,41.0
283,253562.0,70.2,28,30.312392,60.06927,7.0,58.0
284,205406.0,37.0,10,30.372291,59.831173,7.51,26.0
285,301830.0,98.4,5,30.318985,59.906504,1.74,47.0
286,166298.0,45.1,16,30.238577,60.010789,10.48,81.0
287,288889.0,180.0,2,30.257136,60.028474,8.98,70.0
289,115433.0,162.0,6,30.456149,59.865862,14.88,24.0
290,220869.0,76.0,24,30.511773,59.866274,20.93,17.0
291,209054.0,79.0,24,30.511773,59.866274,20.93,17.0
292,211686.0,51.0,18,30.431364,59.900962,11.74,22.0
293,430770.0,62.4,5,30.30172,59.990165,3.96,65.0
294,59761.0,50.2,5,30.348675,59.91129,2.7,62.0
296,200000.0,188.3,6,30.369012,59.929853,4.65,53.0
297,220184.0,32.7,1,30.345854,59.917209,2.28,74.0
298,236085.0,52.1,6,30.350857,59.9358,2.62,20.0
299,223077.0,65.0,5,30.354559,59.943791,3.07,27.0
300,168225.0,160.5,12,30.433565,59.935205,11.82,38.0
301,448980.0,49.0,6,30.327223,59.876237,3.05,54.0
302,277500.0,36.0,2,30.276163,59.939027,5.69,37.0
303,222720.0,111.8,6,30.289224,59.922914,4.28,71.0
304,351000.0,28.96,5,30.308322,59.754121,9.41,12.0
307,384115.0,76.8,5,30.306912,59.924555,2.33,45.0
308,225317.0,79.0,2,30.379568,59.707956,13.58,8.0
309,263300.0,71.7,5,30.37654,59.925128,5.51,67.0
311,272358.0,24.6,16,30.312446,59.905998,2.23,68.0
312,205971.0,67.0,25,30.374088,59.807138,8.64,31.0
313,137200.0,50.4,1,30.359356,59.921692,3.64,44.0
314,259017.0,61.0,1,30.217601,59.835134,13.03,48.0
316,170000.0,15.0,1,30.482389,59.885973,17.49,30.0
317,402577.0,186.3,26,30.310523,59.874359,3.61,66.0
318,251613.0,155.0,26,30.380852,59.924001,5.99,65.0
319,319994.0,60.77,14,30.417396,59.936206,10.02,47.0
323,129033.0,186.0,5,30.304424,59.919982,2.66,66.0
324,164377.0,181.9,5,30.349348,59.924488,2.52,46.0
327,143625.0,80.0,4,30.298665,59.923581,3.24,54.0
328,75509.0,152.3,7,30.413299,59.958809,9.65,26.0
329,246237.0,71.07,8,30.25304,59.908868,8.35,26.0
331,141442.0,111.0,20,30.317961,60.069598,6.93,47.0
332,271371.0,73.7,1,30.323306,59.964205,1.54,72.0
334,178019.0,129.2,1,30.341578,59.923369,1.71,79.0
335,338889.0,72.0,4,30.313128,59.93594,1.57,30.0
336,257500.0,72.0,24,30.28149,60.059418,7.95,24.0
338,267500.0,20.0,5,30.321033,59.94179,0.77,15.0
339,319615.0,76.78,20,30.434311,59.931134,11.9,39.0
340,433213.0,55.4,5,30.330232,59.854567,4.19,35.0
341,82823.0,130.4,1,30.48715,59.964341,17.86,25.0
342,235295.0,69.7,11,30.249204,59.937639,8.68,50.0
343,372192.0,71.2,5,30.27875,59.917745,5.47,28.0
345,312500.0,112.0,5,30.314161,59.935858,1.46,29.0
347,380000.0,110.96,10,30.341533,59.966953,2.29,56.0
349,325000.0,79.75,10,30.341533,59.966953,2.29,56.0
350,250000.0,165.45,10,30.341533,59.966953,2.29,56.0
351,300000.0,83.0,10,30.341533,59.966953,2.29,56.0
352,280787.0,89.0,7,30.437913,59.867692,12.89,19.0
354,298528.0,102.0,10,30.288416,59.911538,4.48,47.0
356,293940.0,33.0,5,30.297237,59.966493,3.68,43.0
357,420000.0,62.98,9,30.307568,59.985804,3.36,61.0
359,57126.0,166.3,1,30.22883,59.960179,11.01,75.0
363,283334.0,30.0,1,30.246536,59.930264,8.98,44.0
364,348400.0,53.1,1,30.2973,59.952331,3.44,46.0
365,156863.0,153.0,1,30.289188,60.003637,5.42,70.0
367,320592.0,81.1,9,30.096589,59.84277,25.89,18.0
368,110481.0,104.0,1,30.326441,60.002279,3.44,77.0
369,234623.0,157.7,11,30.26938,59.850595,7.64,27.0
370,264706.0,17.0,1,30.288919,59.921615,4.32,67.0
371,239200.0,115.5,14,30.407442,59.984908,9.32,13.0
372,178732.0,111.9,1,30.281606,59.918733,5.14,30.0
373,389151.0,42.4,5,30.33087,59.843693,4.76,80.0
375,242858.0,70.0,5,30.323324,59.878762,2.94,77.0
376,378406.0,62.1,5,30.381742,59.872471,6.95,90.0
377,212766.0,141.0,26,30.153722,59.853442,19.6,91.0
378,303572.0,112.0,26,30.236304,60.034915,11.13,83.0
379,216280.0,43.0,5,30.304792,59.954628,2.68,46.0
380,74263.0,98.3,1,30.359356,59.957796,3.76,41.0
381,206553.0,42.12,28,30.372291,59.831173,7.51,26.0
382,210500.0,38.0,5,30.406849,59.927644,8.86,19.0
383,170000.0,47.65,2,30.082621,59.724677,28.29,47.0
384,97754.0,138.0,1,30.361503,59.946211,3.85,40.0
386,261865.0,59.0,27,30.340985,60.075016,7.44,51.0
387,231708.0,164.0,1,30.41126,59.928217,9.35,42.0
388,316667.0,18.0,4,30.103452,59.836486,25.18,23.0
389,263158.0,152.0,1,30.303399,59.9201,2.77,65.0
391,310422.0,90.2,20,30.22804,60.03327,11.93,76.0
392,269300.0,55.7,3,30.279935,59.942376,5.28,52.0
396,174419.0,68.8,2,30.317961,60.069598,6.93,47.0
397,294521.0,73.0,5,30.344408,59.926715,1.96,63.0
398,346402.0,150.6,3,30.316165,59.92832,1.29,32.0
399,280000.0,150.6,3,30.316165,59.92832,1.29,32.0
401,388158.0,76.0,4,30.294955,59.922787,3.65,60.0
403,170910.0,110.0,4,30.323504,59.917042,1.03,38.0
404,80137.0,146.0,4,30.005958,60.05415,35.91,9.0
407,189000.0,115.63,5,30.308322,59.754121,9.41,12.0
408,270000.0,26.08,5,30.308322,59.754121,9.41,12.0
409,198000.0,96.57,5,30.308322,59.754121,9.41,12.0
410,225000.0,128.32,5,30.308322,59.754121,9.41,12.0
411,420000.0,40.67,10,30.429685,59.881358,11.79,23.0
412,400000.0,57.1,10,30.429685,59.881358,11.79,23.0
414,420000.0,136.1,7,30.325013,59.858073,3.99,41.0
415,273168.0,80.5,12,30.322264,59.981276,2.42,115.0
417,370063.0,128.6,6,30.30552,59.906639,2.82,58.0
418,340016.0,128.7,6,30.30552,59.906639,2.82,58.0
419,300081.0,123.69,25,30.300489,59.999093,4.37,77.0
420,290090.0,112.32,17,30.303211,59.999147,4.18,65.0
421,35715.0,70.0,1,30.32133,59.912797,1.34,39.0
422,292241.0,159.8,25,30.330511,60.028928,4.85,65.0
423,167884.0,137.0,1,30.349959,59.929182,2.54,27.0
425,231783.0,129.0,13,30.41594,59.847268,11.01,41.0
426,283951.0,40.5,5,30.359912,59.938928,3.63,22.0
427,307251.0,37.1,14,30.316183,59.857003,4.19,76.0
428,295000.0,125.4,18,30.443869,59.900128,13.12,22.0
429,380000.0,101.33,10,30.341533,59.966953,2.29,56.0
430,280000.0,111.32,10,30.341533,59.966953,2.29,56.0
431,400000.0,92.1,11,30.338083,59.880582,3.1,19.0
432,400000.0,51.3,11,30.338083,59.880582,3.1,19.0
433,450000.0,91.8,11,30.338083,59.880582,3.1,19.0
435,450000.0,75.4,11,30.338083,59.880582,3.1,19.0
436,350000.0,57.6,11,30.338083,59.880582,3.1,19.0
437,450000.0,99.8,11,30.338083,59.880582,3.1,19.0
438,450000.0,103.4,11,30.338083,59.880582,3.1,19.0
441,310000.0,151.93,9,30.307568,59.985804,3.36,61.0
442,343200.0,121.5,9,30.307568,59.985804,3.36,61.0
443,365000.0,105.58,10,30.308116,59.986506,3.35,61.0
444,291500.0,199.59,9,30.307568,59.985804,3.36,61.0
446,346500.0,98.76,9,30.307568,59.985804,3.36,61.0
447,360000.0,137.87,9,30.307568,59.985804,3.36,61.0
448,346500.0,90.17,9,30.307568,59.985804,3.36,61.0
449,380000.0,102.71,9,30.264862,59.93502,6.94,31.0
450,390000.0,103.11,9,30.264862,59.93502,6.94,31.0
452,151516.0,165.0,4,30.314521,59.914434,1.78,57.0
453,234783.0,115.0,14,30.41594,59.847268,11.01,41.0
455,159883.0,149.9,2,30.082621,59.724677,28.29,47.0
457,155738.0,61.0,1,30.317521,59.859985,4.0,73.0
458,170000.0,97.5,2,30.082621,59.724677,28.29,47.0
460,110000.0,200.0,5,30.112121,59.846201,24.18,29.0
463,309483.0,116.0,5,30.300956,59.956674,3.12,35.0
464,285000.0,187.5,5,30.271976,59.884668,6.63,23.0
465,257549.0,112.6,14,30.317521,59.855398,4.23,68.0
466,244091.0,110.0,13,30.2026,60.030245,14.5,18.0
467,358491.0,53.0,13,30.2026,60.030245,14.5,18.0
468,368600.0,42.06,10,30.318985,59.906504,1.74,47.0
469,134147.0,164.0,5,30.442773,59.885616,13.15,17.0
472,322581.0,18.6,1,30.26444,59.942827,7.0,35.0
473,173630.0,184.3,12,30.49413,59.896973,18.69,27.0
474,290074.0,136.46,17,30.303211,59.999147,4.18,65.0
476,204082.0,98.0,12,30.286565,60.020381,6.18,58.0
477,315287.0,157.0,5,30.369551,59.931693,4.71,58.0
478,139594.0,157.6,2,30.345432,59.973577,2.84,58.0
479,216366.0,127.1,18,30.365814,59.988185,5.13,61.0
480,259221.0,192.5,24,30.356625,59.839642,6.03,71.0
481,185984.0,37.1,5,30.375651,59.860486,6.73,84.0
482,323000.0,88.1,10,30.432721,59.883137,12.09,24.0
483,202000.0,105.4,25,30.479038,60.008378,17.4,32.0
484,211000.0,90.2,25,30.479038,60.008378,17.4,32.0
485,213000.0,72.5,25,30.479038,60.008378,17.4,32.0
486,294321.0,89.1,23,30.443869,59.900128,13.12,22.0
487,225000.0,200.0,7,30.327555,59.972811,1.93,74.0
488,168225.0,160.5,13,30.433565,59.935205,11.82,38.0
491,111174.0,179.0,1,30.343132,60.036488,5.57,59.0
492,360361.0,55.5,1,30.318725,59.885936,2.7,75.0
493,281145.0,59.4,1,30.330403,59.957043,1.17,22.0
494,333189.0,69.0,5,30.420351,59.895678,10.59,31.0
495,407835.0,43.4,11,30.338991,59.876928,3.32,18.0
496,250640.0,143.63,18,30.303382,59.997644,4.11,61.0
498,246563.0,136.46,18,30.303382,59.997644,4.11,61.0
500,347108.0,121.0,26,30.340985,60.075016,7.44,51.0
501,358209.0,67.0,26,30.340985,60.075016,7.44,51.0
502,315000.0,90.7,1,30.320899,59.902298,1.84,51.0
505,186545.0,98.1,23,30.447813,59.95593,13.45,16.0
506,200000.0,168.0,1,30.345764,59.908561,2.49,76.0
507,277137.0,86.6,9,30.248189,59.936846,8.79,49.0
508,213904.0,187.0,4,30.322255,60.014652,4.1,70.0
511,311415.0,80.6,15,30.201737,59.929804,13.96,17.0
514,179900.0,100.0,8,30.304379,59.919107,2.68,69.0
516,330084.0,119.59,17,30.303211,59.999147,4.18,65.0
517,330099.0,101.72,17,30.303211,59.999147,4.18,65.0
518,184105.0,134.0,12,30.30755,59.897952,2.9,54.0
519,300111.0,90.37,25,30.300489,59.999093,4.37,77.0
520,300101.0,99.92,25,30.300489,59.999093,4.37,77.0
521,290104.0,96.93,25,30.300489,59.999093,4.37,77.0
522,312500.0,112.0,5,30.314161,59.935858,1.46,29.0
523,420070.0,144.6,25,30.304289,60.000857,4.17,65.0
524,420075.0,133.7,25,30.304289,60.000857,4.17,65.0
526,294562.0,66.2,16,30.329397,60.075151,7.22,25.0
527,178344.0,157.0,4,30.345854,59.917209,2.28,74.0
528,171429.0,105.0,4,30.345854,59.917209,2.28,74.0
529,432433.0,185.0,6,30.315913,59.851562,4.46,66.0
531,421297.0,21.6,9,30.383323,59.869142,7.19,94.0
532,288819.0,47.4,9,30.23581,59.982154,10.4,42.0
533,189951.0,101.6,25,30.367872,59.810098,8.08,32.0
535,283334.0,60.0,3,30.288119,59.984373,4.98,43.0
537,340808.0,66.9,24,30.302843,59.997019,4.12,64.0
