,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km
538,367408.0,67.5,24,30.302079,59.997514,4.2,72.0
539,95000.0,123.9,1,30.41153,59.951132,9.41,25.0
541,230000.0,50.0,23,30.205447,60.002638,13.88,98.0
542,149650.0,199.8,10,30.411682,59.9507,9.42,27.0
543,350000.0,10.0,20,30.215787,60.003327,12.78,95.0
545,274510.0,30.6,9,30.386071,59.86823,7.49,74.0
546,247253.0,182.0,9,30.173844,59.82921,17.67,38.0
548,300000.0,24.0,1,30.350857,59.9358,2.62,20.0
549,210982.0,196.7,5,30.237598,59.930408,9.98,36.0
550,59032.0,169.4,4,30.434949,59.960877,12.06,35.0
552,255086.0,99.92,25,30.303382,59.997644,4.11,61.0
553,235976.0,112.3,25,30.312185,60.056481,6.37,77.0
555,250000.0,200.0,7,30.232891,59.952074,10.52,63.0
556,113961.0,105.3,1,30.474753,59.873202,16.79,26.0
557,223500.0,156.6,16,30.409338,60.006125,9.93,33.0
558,261430.0,155.3,3,30.328489,59.999597,3.31,77.0
559,355103.0,111.0,19,30.311502,59.899081,2.55,64.0
560,114886.0,174.0,4,30.288838,59.985034,4.93,48.0
561,234967.0,147.0,10,30.276378,60.057011,8.21,29.0
562,172675.0,172.0,1,30.330996,59.957079,1.19,24.0
563,296483.0,99.5,23,30.196428,59.938491,14.55,17.0
565,214916.0,53.5,9,30.25304,59.908868,8.35,26.0
566,91936.0,186.0,1,29.767554,59.915702,62.24,23.0
567,96701.0,87.9,1,29.767554,59.915702,62.24,23.0
568,97038.0,97.9,1,29.767554,59.915702,62.24,23.0
569,177726.0,42.2,16,30.32486,60.053701,6.09,94.0
571,264228.0,24.6,4,30.29094,60.01074,5.51,84.0
572,142370.0,87.8,5,30.167826,59.830572,18.29,38.0
573,181559.0,77.0,26,30.371653,59.812193,8.25,33.0
574,393024.0,172.0,5,30.340563,59.925628,1.56,70.0
575,259896.0,192.0,25,30.356625,59.839642,6.03,71.0
576,205074.0,94.6,1,30.342261,59.925435,1.75,76.0
578,250000.0,81.8,12,30.205959,60.029508,14.14,28.0
579,250000.0,154.5,12,30.205959,60.029508,14.14,28.0
580,205172.0,162.9,4,30.368985,59.751533,10.88,72.0
581,205759.0,185.53,4,30.368985,59.751533,10.88,72.0
582,271740.0,110.4,23,30.447022,59.899211,13.48,26.0
584,192814.0,114.1,5,30.330591,59.923054,0.74,33.0
585,322581.0,68.2,3,30.328453,59.999948,3.33,78.0
586,132357.0,151.1,4,30.254271,59.89765,8.32,20.0
588,107816.0,143.3,15,30.235388,60.069036,11.97,33.0
589,103175.0,63.0,1,30.369282,59.806821,8.32,31.0
590,267858.0,179.2,5,30.373612,59.936589,5.15,42.0
591,124200.0,156.2,1,30.398801,59.844981,9.38,42.0
592,189809.0,157.0,19,30.236304,60.034915,11.13,83.0
593,176924.0,39.0,12,30.358287,59.810505,7.47,18.0
594,198556.0,55.4,9,30.489503,59.906309,18.12,36.0
597,120000.0,159.2,1,30.418779,59.87924,10.65,21.0
598,150000.0,63.9,1,30.418779,59.87924,10.65,21.0
599,150000.0,89.0,1,30.418779,59.87924,10.65,21.0
600,215518.0,11.6,4,30.305502,59.929623,2.44,43.0
601,291667.0,7.2,5,30.377268,59.933068,5.56,55.0
602,164336.0,85.8,1,30.32221,59.916649,1.12,36.0
603,230137.0,73.0,11,30.269317,60.052339,8.59,30.0
604,351649.0,91.0,2,30.345162,59.748423,9.99,1.0
605,420084.0,119.5,25,30.295422,59.999638,4.78,69.0
606,123967.0,36.3,19,30.213846,59.95229,12.64,69.0
608,235000.0,133.3,10,30.336574,59.988469,2.95,66.0
609,170000.0,80.2,1,30.334391,59.987753,2.83,71.0
610,283019.0,116.6,13,30.450526,60.002697,14.23,9.0
611,266525.0,140.7,9,30.262823,60.110679,11.08,6.0
612,321101.0,54.5,25,30.251773,60.029458,9.52,75.0
613,280000.0,200.0,7,30.371662,59.93827,4.94,42.0
615,303215.0,115.1,5,30.300956,59.956674,3.12,35.0
616,309989.0,87.1,5,30.373612,59.936589,5.15,42.0
617,111608.0,33.6,25,30.369282,59.806821,8.32,31.0
618,176974.0,152.0,16,30.3223,60.029413,4.85,89.0
620,298667.0,187.5,1,30.362949,59.931824,3.97,40.0
621,243711.0,63.6,6,30.352726,59.931846,2.84,20.0
622,198916.0,82.95,18,30.15083,59.793487,20.49,18.0
623,237180.0,15.6,13,30.251845,60.015404,9.21,120.0
624,125000.0,80.0,1,30.307065,59.919725,2.38,66.0
625,53776.0,196.0,1,30.358287,59.810505,7.47,18.0
627,88289.0,111.0,1,30.369471,59.932184,4.7,54.0
628,219719.0,71.0,14,30.41594,59.847268,11.01,41.0
631,135000.0,137.0,2,30.084013,59.724491,28.15,48.0
632,402577.0,186.3,22,30.313955,59.851598,4.52,76.0
633,246588.0,96.93,24,30.303382,59.997644,4.11,61.0
634,420102.0,98.6,25,30.304289,60.000857,4.17,65.0
635,255292.0,90.3,18,30.303382,59.997644,4.11,61.0
636,335000.0,69.0,25,30.303983,59.99669,4.03,59.0
637,335000.0,69.4,25,30.302843,59.997019,4.12,64.0
638,335000.0,66.9,25,30.302843,59.997019,4.12,64.0
639,335000.0,51.0,25,30.303983,59.99669,4.03,59.0
641,253334.0,15.0,1,30.350274,59.916618,2.74,56.0
642,316392.0,78.7,24,30.344614,59.85332,4.71,35.0
643,197263.0,62.1,6,30.317117,59.924722,1.26,31.0
644,226485.0,128.0,5,30.357137,59.918201,3.44,32.0
645,188334.0,18.0,6,30.355502,59.936819,3.14,22.0
646,189286.0,42.0,5,30.29739,59.95402,3.45,48.0
647,212766.0,141.0,22,30.153722,59.853442,19.6,91.0
648,310208.0,125.4,23,30.402879,60.006246,9.27,36.0
650,301110.0,63.1,9,30.386458,59.874277,7.37,52.0
651,343116.0,88.6,13,30.264044,59.949474,7.06,38.0
652,336910.0,93.2,19,30.313398,59.887178,2.9,91.0
653,294521.0,73.0,5,30.344408,59.926715,1.96,63.0
654,225000.0,200.0,26,30.223467,59.940366,11.55,71.0
655,350000.0,147.9,8,30.333816,59.918467,1.14,54.0
656,245834.0,168.0,17,30.481796,60.007636,17.69,32.0
657,166367.0,111.2,1,30.213846,59.95229,12.64,69.0
658,393637.0,110.0,5,30.380062,59.941493,5.88,40.0
662,353151.0,50.46,19,30.184849,59.942245,15.84,15.0
663,339533.0,94.1,19,30.184849,59.942245,15.84,15.0
664,383191.0,131.71,19,30.184849,59.942245,15.84,15.0
665,424055.0,67.68,19,30.184849,59.942245,15.84,15.0
666,376685.0,61.59,19,30.184849,59.942245,15.84,15.0
667,369015.0,106.5,19,30.184849,59.942245,15.84,15.0
668,229581.0,60.85,19,30.184849,59.942245,15.84,15.0
669,350197.0,17.79,19,30.184849,59.942245,15.84,15.0
670,236342.0,41.0,19,30.184849,59.942245,15.84,15.0
671,232887.0,43.97,19,30.184849,59.942245,15.84,15.0
673,350191.0,91.75,18,30.194542,59.942894,14.76,20.0
674,360993.0,72.91,18,30.194542,59.942894,14.76,20.0
675,406596.0,47.91,18,30.194542,59.942894,14.76,20.0
676,362704.0,93.52,18,30.194542,59.942894,14.76,20.0
677,292316.0,75.09,9,30.288622,59.903823,4.58,42.0
678,327575.0,81.27,9,30.288622,59.903823,4.58,42.0
679,319226.0,94.56,9,30.288622,59.903823,4.58,42.0
680,322735.0,54.41,9,30.288622,59.903823,4.58,42.0
681,276871.0,142.63,9,30.288622,59.903823,4.58,42.0
682,379920.0,27.19,19,30.184849,59.942245,15.84,15.0
683,326578.0,56.25,19,30.184849,59.942245,15.84,15.0
684,310880.0,116.09,19,30.184849,59.942245,15.84,15.0
686,440000.0,50.0,5,30.358134,59.932495,3.43,22.0
688,149057.0,159.0,15,30.359041,59.808794,7.59,19.0
689,223237.0,82.2,13,30.41594,59.847268,11.01,41.0
690,143625.0,80.0,6,30.298665,59.923581,3.24,54.0
692,293953.0,178.6,1,30.289467,59.95584,4.32,74.0
693,296678.0,126.4,1,30.289467,59.95584,4.32,74.0
694,319445.0,108.0,13,30.207711,60.030578,13.97,26.0
696,120664.0,66.3,1,30.474753,59.873202,16.79,26.0
697,275000.0,99.2,4,30.359356,59.921692,3.64,44.0
698,227046.0,44.0,17,30.200542,59.852606,14.57,28.0
699,106618.0,54.4,1,30.336026,59.873261,3.38,18.0
700,141510.0,31.8,5,30.33149,60.037063,5.28,83.0
701,260000.0,137.5,4,30.267494,59.962724,6.78,27.0
702,276873.0,30.7,1,30.357397,59.838607,6.13,67.0
703,364952.0,82.2,16,30.418851,59.970303,10.37,23.0
705,188364.0,167.0,13,30.194928,60.03625,15.38,5.0
706,187827.0,149.0,13,30.194928,60.03625,15.38,5.0
707,231603.0,121.0,13,30.19579,60.036443,15.29,6.0
708,295332.0,89.0,23,30.443869,59.900128,13.12,22.0
709,97318.0,41.0,8,30.371456,59.922201,4.96,60.0
710,298388.0,62.0,22,30.160765,59.861973,18.77,89.0
711,197483.0,114.0,13,30.194928,60.03625,15.38,5.0
712,145455.0,55.0,1,30.41126,59.928217,9.35,42.0
713,197798.0,108.0,13,30.194928,60.03625,15.38,5.0
714,160238.0,67.4,6,30.324591,59.918435,0.92,38.0
715,204973.0,103.0,13,30.19579,60.036443,15.29,6.0
717,407295.0,164.5,19,30.203112,59.930791,13.81,20.0
718,197554.0,103.0,13,30.194928,60.03625,15.38,5.0
719,206619.0,98.0,13,30.194928,60.03625,15.38,5.0
721,186677.0,14.2,3,30.285451,59.898449,5.0,44.0
722,234616.0,13.0,9,30.376477,59.856176,6.94,83.0
723,123702.0,97.0,26,30.428607,60.033185,12.54,52.0
724,175000.0,79.6,14,30.362015,59.807106,7.84,23.0
725,398681.0,36.37,12,30.338083,59.880582,3.1,19.0
726,417662.0,88.5,12,30.326262,59.985057,2.56,86.0
727,259575.0,47.0,6,30.349043,59.91683,2.61,66.0
728,209375.0,48.0,5,30.3253,59.91466,1.09,37.0
729,53379.0,74.0,1,30.307675,59.922088,2.28,57.0
730,353536.0,99.0,9,30.370782,59.925096,4.87,58.0
732,135000.0,191.8,6,30.464324,59.962093,15.32,28.0
735,150000.0,66.75,2,30.082621,59.724677,28.29,47.0
736,170000.0,47.65,2,30.082621,59.724677,28.29,47.0
737,248367.0,153.0,5,30.306247,59.929037,2.36,40.0
738,256131.0,199.0,5,30.319848,59.855304,4.18,55.0
739,98033.0,152.5,1,30.41374,59.721193,15.29,17.0
741,225989.0,70.8,14,30.41594,59.847268,11.01,41.0
743,380160.0,53.3,9,30.145673,59.861824,20.42,46.0
744,373011.0,63.5,1,30.434006,59.934285,11.87,39.0
745,200000.0,37.7,4,30.29094,60.01074,5.51,84.0
746,103175.0,63.0,1,30.370072,59.806975,8.37,31.0
748,75137.0,73.2,1,30.244308,60.072444,11.27,21.0
749,75461.0,81.5,1,30.244308,60.072444,11.27,21.0
751,132531.0,91.3,1,30.373172,59.935232,5.1,54.0
752,281924.0,78.0,5,30.306912,59.924555,2.33,45.0
753,176413.0,50.45,13,30.329891,60.006116,3.66,69.0
755,179348.0,92.0,1,30.387931,59.946626,6.77,24.0
757,240869.0,188.9,24,30.459545,59.897063,14.87,40.0
758,206900.0,130.7,12,30.229064,59.936206,10.92,55.0
759,200000.0,11.7,1,30.376316,59.924943,5.48,69.0
761,249541.0,76.1,4,30.321698,59.929096,0.7,24.0
762,265000.0,74.7,12,30.204962,60.033908,14.3,19.0
763,443334.0,90.0,4,30.325821,59.925723,0.53,27.0
764,159947.0,187.5,23,30.312113,60.053813,6.24,76.0
765,110000.0,131.0,14,30.2374,60.06923,11.8,33.0
766,218610.0,89.2,8,30.287922,60.019972,6.06,68.0
769,161000.0,126.0,12,30.485775,60.003943,18.08,29.0
770,175000.0,101.2,14,30.479038,60.008378,17.4,32.0
771,180000.0,95.2,14,30.485928,60.005072,18.11,30.0
772,190000.0,75.8,12,30.479038,60.008378,17.4,32.0
773,186000.0,15.0,6,30.311278,59.911475,2.16,57.0
774,103637.0,55.0,1,30.311278,59.911475,2.16,57.0
775,139035.0,64.66,1,30.425723,59.883882,11.32,21.0
776,75574.0,74.1,1,30.244308,60.072444,11.27,21.0
778,75597.0,150.8,1,30.244308,60.072444,11.27,21.0
779,76272.0,70.8,1,30.244308,60.072444,11.27,21.0
780,178334.0,27.0,1,30.275992,59.94431,5.72,50.0
781,226974.0,152.0,13,30.41594,59.847268,11.01,41.0
782,275941.0,117.0,13,30.379523,60.017063,7.29,42.0
783,334000.0,72.5,25,30.220979,59.863007,12.28,34.0
784,334000.0,72.5,25,30.220979,59.863007,12.28,34.0
785,310000.0,77.0,25,30.220979,59.863007,12.28,34.0
786,324000.0,72.6,25,30.220979,59.863007,12.28,34.0
787,317000.0,73.2,25,30.220979,59.863007,12.28,34.0
788,298000.0,76.2,25,30.220979,59.863007,12.28,34.0
789,310000.0,93.5,25,30.220988,59.861973,12.29,35.0
790,337000.0,77.3,25,30.220988,59.861973,12.29,35.0
791,324000.0,75.7,25,30.220988,59.861973,12.29,35.0
792,334000.0,72.2,25,30.220988,59.861973,12.29,35.0
793,327000.0,72.8,25,30.220988,59.861973,12.29,35.0
794,385000.0,56.3,25,30.220988,59.861973,12.29,35.0
795,305000.0,94.2,25,30.220961,59.862483,12.29,34.0
796,332000.0,77.4,25,30.220961,59.862483,12.29,34.0
797,339000.0,72.4,25,30.220961,59.862483,12.29,34.0
798,319000.0,76.2,25,30.220961,59.862483,12.29,34.0
799,329000.0,72.5,25,30.220961,59.862483,12.29,34.0
800,380000.0,56.2,25,30.220961,59.862483,12.29,34.0
801,118368.0,49.0,5,30.382047,59.965912,6.31,30.0
802,264582.0,94.3,25,30.196985,59.994346,14.72,71.0
804,250915.0,82.0,5,30.267494,59.962724,6.78,27.0
805,225000.0,40.0,6,30.35269,59.926381,2.87,23.0
807,194977.0,147.3,5,30.362284,60.043413,6.94,52.0
809,209940.0,181.0,4,30.297372,59.919491,3.42,55.0
810,387879.0,82.5,6,30.35693,59.953822,3.44,38.0
812,307693.0,13.0,1,30.32893,59.915143,1.06,38.0
813,420169.0,59.5,6,30.346546,59.910009,2.52,75.0
814,193515.0,95.6,10,30.49413,59.896973,18.69,27.0
816,242000.0,107.5,12,30.229064,59.936206,10.92,55.0
817,370000.0,95.8,7,30.304226,59.910343,2.86,65.0
818,209800.0,123.7,13,30.341578,59.902217,2.35,66.0
819,198100.0,121.7,13,30.341578,59.902217,2.35,66.0
820,211800.0,109.8,12,30.344551,59.902406,2.59,65.0
821,250000.0,81.1,12,30.229064,59.936206,10.92,55.0
822,126620.0,71.0,8,30.325812,59.854716,4.16,37.0
823,365610.0,41.0,8,30.094478,59.84273,26.12,18.0
824,90390.0,38.5,3,30.315679,59.959228,1.77,76.0
826,135000.0,58.9,1,30.376316,59.924943,5.48,69.0
827,234554.0,87.4,27,30.311826,60.069068,7.0,57.0
828,277050.0,61.0,8,30.39651,59.944292,7.71,20.0
829,76613.0,99.2,1,30.29138,59.918296,4.08,59.0
832,258913.0,195.8,5,30.318572,59.856469,4.15,56.0
833,253080.0,199.4,5,30.319848,59.855304,4.18,55.0
834,260083.0,170.5,5,30.318617,59.855927,4.18,57.0
835,287737.0,73.1,9,30.335083,60.011441,4.04,58.0
836,312178.0,38.4,9,30.335083,60.011441,4.04,58.0
837,312178.0,38.4,9,30.335083,60.011441,4.04,58.0
844,196019.0,126.4,2,30.362284,60.043413,6.94,52.0
846,193054.0,147.3,2,30.362284,60.043413,6.94,52.0
848,55715.0,140.0,1,30.353795,59.946302,3.0,29.0
851,353151.0,50.46,19,30.184849,59.942245,15.84,15.0
852,339533.0,94.1,19,30.184849,59.942245,15.84,15.0
853,383191.0,131.71,19,30.184849,59.942245,15.84,15.0
854,250330.0,75.9,2,30.364781,60.052272,7.5,41.0
855,172992.0,72.2,1,30.344812,59.939825,1.96,22.0
857,190000.0,94.4,25,30.479038,60.008378,17.4,32.0
858,195000.0,85.2,25,30.479038,60.008378,17.4,32.0
859,200000.0,77.0,25,30.479038,60.008378,17.4,32.0
860,245455.0,55.0,4,30.345396,59.939167,2.02,20.0
861,321429.0,84.0,15,30.103587,59.843326,25.12,23.0
862,263856.0,83.0,25,30.452511,59.861711,14.55,25.0
864,225460.0,57.66,25,30.317961,60.069598,6.93,47.0
865,285000.0,100.0,19,30.196428,59.938491,14.55,17.0
870,294118.0,73.1,5,30.313326,59.936724,1.55,31.0
871,300000.0,147.0,6,30.302869,59.960877,3.0,43.0
873,149650.0,199.8,9,30.411682,59.9507,9.42,27.0
874,125261.0,47.9,1,30.369327,59.927346,4.7,56.0
875,423077.0,104.0,8,30.297219,59.960309,3.57,44.0
878,280822.0,29.2,5,30.357586,59.930962,3.38,23.0
880,317110.0,135.6,25,30.24624,60.009593,9.67,100.0
881,149823.0,196.9,1,30.301675,59.959138,3.09,39.0
882,188525.0,61.0,18,30.244308,60.072444,11.27,21.0
886,178334.0,27.0,1,30.275992,59.94431,5.72,50.0
887,250000.0,91.6,25,30.207702,60.004708,13.66,106.0
888,263300.0,71.7,5,30.37654,59.925128,5.51,67.0
890,70284.0,81.1,5,30.30755,59.958224,2.48,42.0
891,257226.0,34.6,18,30.421196,59.890681,10.74,34.0
892,308089.0,13.6,5,30.411206,59.871997,9.97,31.0
893,226959.0,152.01,13,30.41594,59.847268,11.01,41.0
894,219299.0,57.0,25,30.317961,60.069598,6.93,47.0
895,230355.0,129.8,13,30.41594,59.847268,11.01,41.0
896,164788.0,115.3,1,30.358852,59.943012,3.53,34.0
897,229389.0,150.4,13,30.41594,59.847268,11.01,41.0
898,230355.0,129.8,13,30.41594,59.847268,11.01,41.0
900,292858.0,70.0,26,30.407065,59.858381,9.84,45.0
901,261628.0,86.0,4,30.087049,59.849609,26.9,12.0
902,107273.0,110.0,5,30.428894,59.716433,16.71,13.0
903,227774.0,136.1,10,30.264044,59.949474,7.06,38.0
904,378482.0,79.0,4,30.287562,59.985512,5.07,40.0
905,215405.0,153.2,18,30.159633,59.865325,18.88,86.0
907,175000.0,78.3,14,30.359041,59.808794,7.59,19.0
909,361011.0,27.7,1,30.319722,59.87131,3.39,77.0
910,294133.0,121.0,2,29.94428,59.874612,42.61,61.0
911,270000.0,113.45,11,30.378714,60.018349,7.26,41.0
912,270000.0,72.82,11,30.378714,60.018349,7.26,41.0
913,294500.0,115.3,4,30.109642,59.83328,24.52,31.0
914,295367.0,51.8,16,30.40552,59.84819,9.95,55.0
915,275500.0,120.4,4,30.109642,59.83328,24.52,31.0
919,175582.0,43.0,1,30.349249,59.917493,2.62,62.0
920,199500.0,118.7,4,30.109642,59.83328,24.52,31.0
922,339081.0,87.0,24,30.344947,59.906359,2.49,71.0
923,333206.0,197.0,3,30.245566,59.963066,9.18,40.0
924,327670.0,170.0,3,30.245566,59.963066,9.18,40.0
925,260477.0,105.0,8,30.248189,59.936846,8.79,49.0
926,277882.0,107.6,1,30.349869,59.928541,2.54,27.0
928,177261.0,193.5,14,30.359041,59.808794,7.59,19.0
929,256199.0,121.0,24,30.316856,59.855877,4.22,71.0
930,321128.0,94.0,9,30.288622,59.903823,4.58,42.0
931,292422.0,97.0,13,30.379523,60.017063,7.29,42.0
932,210284.0,148.0,16,30.258906,60.070796,10.0,12.0
935,135000.0,179.0,27,30.317961,60.069598,6.93,47.0
937,89663.0,189.6,3,29.786841,59.988244,60.09,12.0
938,160000.0,149.79,2,30.084013,59.724491,28.15,48.0
939,161917.0,79.3,1,30.275992,59.94431,5.72,50.0
940,340000.0,150.0,2,30.257136,60.028474,8.98,70.0
943,170000.0,55.24,2,30.084013,59.724491,28.15,48.0
944,170000.0,97.5,2,30.084013,59.724491,28.15,48.0
945,170000.0,47.65,2,30.084013,59.724491,28.15,48.0
946,170000.0,33.27,2,30.084013,59.724491,28.15,48.0
947,150000.0,66.75,2,30.084013,59.724491,28.15,48.0
948,235000.0,82.99,5,30.387724,60.026051,8.34,50.0
949,205000.0,101.49,5,30.387724,60.026051,8.34,50.0
950,190000.0,37.28,5,30.387724,60.026051,8.34,50.0
951,260000.0,12.84,5,30.387724,60.026051,8.34,50.0
952,350000.0,97.36,5,30.387724,60.026051,8.34,50.0
953,330000.0,128.09,5,30.387724,60.026051,8.34,50.0
954,350000.0,101.3,5,30.387724,60.026051,8.34,50.0
955,350000.0,101.58,5,30.387724,60.026051,8.34,50.0
956,350000.0,67.46,5,30.387724,60.026051,8.34,50.0
957,350000.0,96.43,5,30.387724,60.026051,8.34,50.0
958,187500.0,80.0,1,30.290868,59.940005,4.06,76.0
959,204997.0,187.92,5,30.387724,60.026051,8.34,50.0
960,210000.0,95.55,5,30.387724,60.026051,8.34,50.0
961,220000.0,183.9,5,30.387724,60.026051,8.34,50.0
962,320225.0,128.0,5,30.387724,60.026051,8.34,50.0
964,280514.0,109.0,13,30.379523,60.017063,7.29,42.0
968,136207.0,58.0,1,30.32495,59.917213,0.97,38.0
969,234694.0,49.0,6,30.345863,59.925146,2.14,59.0
970,197369.0,30.4,5,30.442773,59.885616,13.15,17.0
971,213376.0,31.4,5,30.442773,59.885616,13.15,17.0
972,225288.0,43.5,5,30.442773,59.885616,13.15,17.0
973,225000.0,60.4,5,30.442773,59.885616,13.15,17.0
974,225000.0,58.9,5,30.442773,59.885616,13.15,17.0
975,100000.0,61.2,9,30.642972,59.780568,36.5,0.0
976,124522.0,52.2,9,30.642972,59.780568,36.5,0.0
977,134316.0,57.7,1,30.32495,59.917213,0.97,38.0
978,144231.0,124.8,1,30.278363,59.915269,5.53,28.0
979,261146.0,143.0,13,30.379523,60.017063,7.29,42.0
980,260327.0,167.0,13,30.379523,60.017063,7.29,42.0
981,80646.0,49.6,1,30.356822,59.94417,3.32,34.0
982,65385.0,130.0,1,30.334275,59.851896,4.4,50.0
985,228125.0,96.0,1,30.307235,59.928952,2.25,39.0
987,447848.0,83.0,11,30.322264,59.981276,2.42,115.0
989,295274.0,108.0,26,30.451577,59.899004,13.98,34.0
990,135000.0,137.0,2,30.084013,59.724491,28.15,48.0
993,135000.0,124.0,27,30.317961,60.069598,6.93,47.0
995,194806.0,77.0,25,30.312392,60.06927,7.0,58.0
997,133827.0,148.7,4,30.263056,59.942913,7.15,36.0
998,129470.0,81.1,4,30.263056,59.942913,7.15,36.0
999,166474.0,86.2,1,30.346276,59.932374,2.12,31.0
1000,100592.0,84.5,1,30.297354,59.856795,5.15,39.0
1001,322223.0,90.0,5,30.363694,59.930872,4.06,38.0
1004,105741.0,33.1,9,30.642972,59.780568,36.5,0.0
1005,100000.0,50.0,9,30.642972,59.780568,36.5,0.0
1006,100000.0,84.7,9,30.642972,59.780568,36.5,0.0
1007,100000.0,67.7,9,30.642972,59.780568,36.5,0.0
1008,166280.0,86.0,5,30.268482,59.937675,6.54,27.0
1009,399275.0,55.1,7,30.296402,59.952123,3.53,52.0
1010,333334.0,48.0,3,30.359679,59.918526,3.71,46.0
1011,321051.0,97.3,9,30.31082,59.904775,2.4,54.0
1012,200804.0,149.4,3,30.378984,59.858367,7.1,90.0
1013,315608.0,104.0,11,30.306768,59.903927,2.78,54.0
1017,360000.0,200.0,5,30.345773,59.924984,2.13,60.0
1020,356399.0,197.7,7,30.319803,59.857143,4.09,53.0
1021,107759.0,69.6,4,30.318572,59.915183,1.42,41.0
1022,286597.0,113.4,2,30.382685,59.851973,7.64,75.0
1024,319489.0,156.5,4,30.296653,59.918404,3.51,54.0
1027,425274.0,82.3,25,30.426684,59.902826,11.2,28.0
1028,155218.0,151.4,4,30.307675,59.922088,2.28,57.0
1030,266394.0,12.2,18,30.199994,59.860161,14.55,27.0
1032,263719.0,187.7,6,30.277789,59.905073,5.7,41.0
1033,182197.0,120.2,1,30.359104,59.921295,3.62,44.0
1034,236312.0,34.7,3,30.337787,59.946946,1.31,21.0
1035,55334.0,150.0,1,30.383466,59.991187,6.94,82.0
1037,276882.0,186.0,17,30.173755,59.832593,17.64,47.0
1038,184211.0,190.0,6,30.262346,59.872511,7.83,24.0
1039,263637.0,110.0,5,30.244138,59.932392,9.25,44.0
1040,380000.0,100.0,9,30.370782,59.925096,4.87,58.0
1046,350000.0,76.4,6,30.305546,59.907532,2.8,59.0
1048,206312.0,162.0,4,30.368985,59.751533,10.88,72.0
1049,206349.0,185.0,4,30.368985,59.751533,10.88,72.0
1050,173800.0,50.0,3,30.350588,59.922341,2.68,48.0
1051,361112.0,180.0,2,30.371384,59.936178,4.9,51.0
1053,123810.0,63.0,1,30.350444,59.838055,5.74,69.0
1054,168540.0,89.0,12,30.49413,59.896973,18.69,27.0
1055,169474.0,85.5,5,30.29739,59.95402,3.45,48.0
1056,209431.0,151.1,1,30.333556,59.984922,2.66,69.0
1057,214003.0,90.8,15,30.255618,60.06975,10.24,10.0
1058,241003.0,66.4,15,30.255618,60.06975,10.24,10.0
1059,174007.0,132.7,15,30.255618,60.06975,10.24,10.0
1060,214003.0,90.0,15,30.255618,60.06975,10.24,10.0
1061,283334.0,36.0,2,30.276163,59.939027,5.69,37.0
1062,212556.0,181.6,16,30.273171,59.963539,6.17,37.0
1063,418519.0,81.0,20,30.308223,59.904247,2.64,55.0
1065,84445.0,45.0,1,30.297156,59.956899,3.52,48.0
