,squares,rent_per_month,max_floor,latitude,longitude
0,22.9,29770.0,3.0,30.343905,59.965966
1,91.0,110000.0,16.0,30.200363,59.934109
2,70.0,110000.0,12.0,30.344677,59.873735
3,109.5,330000.0,18.0,30.262355,60.006575
4,77.5,116250.0,25.0,30.446151,59.902303
5,24.4,65000.0,21.0,30.275094,59.994868
6,86.4,160000.0,21.0,30.275094,59.994868
7,63.0,138600.0,22.0,30.450517,59.903986
8,109.4,220000.0,13.0,30.40137,60.038542
9,155.5,311000.0,13.0,30.40137,60.038542
10,54.1,135000.0,13.0,30.40137,60.038542
11,28.0,49980.0,5.0,30.312419,59.864064
12,50.0,100000.0,4.0,30.285891,59.921646
13,53.0,110000.0,9.0,30.334293,59.875411
14,171.0,427500.0,9.0,30.387428,59.858349
15,99.6,239040.0,4.0,30.320548,59.927667
16,37.7,94250.0,5.0,30.109211,59.835894
17,43.0,45000.0,,30.323683,59.929037
21,98.0,98000.0,16.0,30.242009,59.986677
22,166.1,220000.0,4.0,30.204836,59.834139
23,140.0,180000.0,10.0,30.359041,59.808794
24,131.0,180000.0,5.0,30.279594,59.944787
26,159.0,398000.0,,30.314125,59.934159
27,96.0,528000.0,1.0,30.306894,59.970254
28,175.1,280160.0,20.0,30.199949,59.998247
29,44.0,48000.0,25.0,30.377618,59.802418
30,122.0,100000.0,5.0,30.304343,59.957476
31,44.8,58240.0,1.0,30.424142,59.864873
33,73.0,330000.0,1.0,30.474457,59.914268
35,31.0,62000.0,3.0,30.381194,59.802576
36,54.2,90000.0,24.0,30.512222,59.862587
37,90.5,300000.0,20.0,30.302142,59.999458
38,33.0,60000.0,5.0,30.414476,59.951285
39,56.2,123000.0,10.0,30.315275,59.879353
40,90.5,250000.0,7.0,30.320018,59.911141
45,93.0,350000.0,6.0,30.313631,59.906025
46,74.9,220000.0,16.0,30.439485,59.924488
48,151.0,155000.0,24.0,30.326046,59.926034
49,186.0,223000.0,4.0,30.186466,59.861593
50,96.0,135000.0,23.0,30.302142,59.999458
51,118.0,260000.0,25.0,30.376064,59.926702
55,89.9,224750.0,13.0,30.248189,59.936846
56,40.0,50000.0,1.0,30.31523,59.851209
57,58.0,70000.0,8.0,30.358655,59.946694
58,35.0,40000.0,5.0,30.263173,60.005549
59,20.0,40000.0,,30.32018,59.925155
61,150.15,300000.0,3.0,30.475319,59.966241
63,25.0,32500.0,6.0,30.453346,60.03567
64,95.1,104610.0,6.0,30.285891,59.921646
66,50.0,99000.0,4.0,30.14394,59.788493
67,57.0,65000.0,5.0,30.260262,59.866061
69,58.0,119422.0,7.0,30.332244,59.896097
70,31.0,50000.0,5.0,30.22883,59.960179
71,153.0,290000.0,9.0,30.22883,59.960179
72,105.0,126000.0,,30.478328,60.001815
73,167.0,167000.0,,30.259777,60.009049
74,63.0,130000.0,24.0,30.33723,59.934605
77,92.0,250000.0,3.0,30.219614,59.959278
80,29.0,72750.0,2.0,30.289512,59.908502
83,73.0,144000.0,1.0,30.389593,60.047083
84,80.0,141000.0,1.0,30.474008,59.862352
85,96.0,166000.0,1.0,30.390105,59.939329
86,112.0,155000.0,1.0,30.373028,60.045722
87,180.0,306000.0,5.0,30.474008,59.862352
89,36.0,80000.0,1.0,30.332999,60.075344
90,132.0,230000.0,16.0,30.465483,59.895772
91,90.0,150000.0,26.0,30.465483,59.895772
92,88.3,212000.0,15.0,30.465483,59.895772
93,58.1,151000.0,15.0,30.465483,59.895772
94,28.0,81200.0,15.0,30.470702,59.894897
95,39.5,110600.0,15.0,30.35181,59.932468
96,67.3,168250.0,15.0,30.488947,59.841089
98,80.0,104000.0,,30.488947,59.841089
99,23.0,42550.0,3.0,30.488947,59.841089
103,27.0,59400.0,1.0,30.317539,59.840659
109,77.0,84700.0,24.0,30.439773,59.959683
110,135.0,135000.0,3.0,30.327097,59.753242
111,180.0,180000.0,3.0,30.321536,59.985831
112,151.5,340450.0,5.0,30.25366,59.852366
113,49.5,194000.0,14.0,30.30755,59.897952
114,160.0,150000.0,14.0,30.390105,59.939329
115,135.0,77500.0,9.0,30.334499,59.95907
116,198.39,317424.0,5.0,30.450346,59.928528
118,150.0,75000.0,2.0,30.302169,59.958178
119,55.0,110000.0,6.0,30.274258,59.880983
120,37.2,81840.0,5.0,30.322561,59.937486
121,101.0,89000.0,,30.345701,59.909815
122,89.5,105000.0,5.0,30.199195,60.038573
124,62.4,180000.0,25.0,30.279998,59.844669
125,31.4,95000.0,25.0,30.343922,59.923978
126,36.0,37980.0,4.0,30.276639,59.903241
127,165.0,200000.0,,30.415554,60.036829
129,104.0,270400.0,18.0,30.313568,59.971533
130,20.0,30000.0,5.0,30.218563,59.85111
133,78.0,100000.0,6.0,30.370162,59.999782
134,31.0,70000.0,9.0,30.362311,59.924984
135,32.0,50000.0,,30.304621,59.960435
136,116.6,186560.0,2.0,30.323091,59.963998
137,71.3,149017.0,3.0,30.32098,59.876174
138,66.6,127000.0,5.0,30.383655,59.872042
140,62.0,120000.0,9.0,30.36329,59.835179
141,34.0,70000.0,9.0,30.247381,60.010124
142,25.0,66000.0,9.0,30.38246,59.92497
143,26.0,55000.0,10.0,30.343905,59.965966
144,109.9,350000.0,5.0,30.323279,59.913447
146,38.0,110000.0,5.0,30.328561,60.002099
148,112.0,257600.0,8.0,30.262329,60.006282
150,109.0,330000.0,11.0,30.320953,59.877398
151,89.2,110000.0,4.0,30.274698,59.852285
152,139.0,415000.0,7.0,30.327016,59.938166
153,120.0,200000.0,10.0,30.482371,59.945517
154,40.0,125000.0,1.0,30.107827,59.834189
156,78.3,101790.0,4.0,30.434536,59.935304
157,38.0,57000.0,4.0,30.439701,59.935209
159,56.0,67200.0,4.0,30.477466,59.947027
160,60.0,72000.0,4.0,30.382514,59.996803
162,117.2,170000.0,9.0,30.30755,59.963287
163,153.0,90000.0,,30.345854,59.917209
164,55.0,80000.0,7.0,30.230627,59.938257
165,82.0,149896.0,3.0,30.405978,59.719555
167,47.3,26015.0,2.0,30.405978,59.719555
168,80.8,44440.0,2.0,30.321545,59.925574
169,119.1,65505.0,2.0,30.267251,60.052344
171,178.4,124880.0,8.0,30.477466,59.947027
172,132.7,329992.0,5.0,30.489243,59.936733
179,59.0,135700.0,1.0,30.320018,59.911141
180,40.0,120000.0,1.0,30.241901,60.041251
181,59.0,137310.0,1.0,30.474825,59.938685
182,66.7,152100.0,1.0,30.321456,59.928041
185,32.0,64880.0,1.0,30.405978,59.719555
186,44.1,24255.0,2.0,30.405978,59.719555
187,44.1,24255.0,2.0,30.405978,59.719555
188,74.2,40810.0,2.0,30.300597,59.91134
189,74.5,40975.0,2.0,30.373091,59.927739
190,81.7,150000.0,8.0,30.344641,60.038537
192,146.1,310000.0,9.0,30.263173,60.005549
193,78.4,160000.0,25.0,30.329046,59.935511
195,20.0,50000.0,6.0,30.405978,59.719555
197,44.0,24000.0,2.0,30.405978,59.719555
198,62.0,60000.0,5.0,30.405978,59.719555
199,43.3,23815.0,2.0,30.405978,59.719555
200,44.4,24420.0,2.0,30.405978,59.719555
201,73.2,40260.0,2.0,30.385281,59.944143
202,74.9,41195.0,2.0,30.2026,60.030245
204,82.0,200000.0,11.0,30.210819,60.033158
205,76.3,41965.0,2.0,30.207648,60.034474
206,60.1,108000.0,13.0,30.326307,60.009606
208,56.0,70000.0,10.0,30.326307,60.009606
209,130.0,195000.0,2.0,30.326307,60.009606
211,66.0,210000.0,1.0,30.114672,59.834917
214,115.3,149890.0,4.0,30.398801,59.844981
215,64.4,83720.0,4.0,30.098341,59.839918
217,146.7,102690.0,26.0,30.347327,59.938432
218,77.0,190000.0,1.0,29.766935,59.914416
220,106.7,290000.0,4.0,30.368455,60.046571
221,86.0,55900.0,1.0,30.459545,59.897063
222,33.0,120000.0,1.0,30.459545,59.897063
224,50.0,110000.0,1.0,30.405978,59.719555
225,71.0,160000.0,1.0,30.405978,59.719555
226,80.0,160000.0,25.0,30.32778,59.862415
227,46.4,25520.0,2.0,30.27998,59.958246
228,76.3,41965.0,2.0,30.313739,59.959093
229,124.0,149384.0,5.0,30.361844,59.809202
232,126.0,126000.0,14.0,30.379954,59.810849
233,30.0,180000.0,1.0,30.379954,59.810849
237,131.0,550000.0,1.0,30.329397,60.075151
241,65.0,130000.0,1.0,30.362015,59.807106
244,40.0,36000.0,2.0,30.480889,59.9229
245,180.0,180000.0,14.0,30.438102,59.876337
248,180.0,360000.0,1.0,30.418546,60.032578
249,114.0,228000.0,1.0,30.219281,59.987303
250,70.0,100000.0,1.0,30.433026,59.939374
251,200.0,400000.0,1.0,30.335469,59.853265
252,100.0,65000.0,,30.352995,59.921304
253,135.0,280000.0,1.0,30.302977,59.958638
254,160.0,192000.0,3.0,30.362958,59.938531
255,95.0,140000.0,5.0,30.41594,59.847268
256,65.0,140000.0,1.0,30.385784,59.924406
257,158.8,280000.0,5.0,30.361413,60.042586
258,76.0,257000.0,1.0,30.254765,59.988563
259,70.0,175000.0,1.0,30.317692,59.977481
260,80.0,150000.0,12.0,30.418366,59.94015
261,81.5,140000.0,25.0,30.418366,59.94015
264,23.0,118320.0,1.0,30.334275,59.934758
265,44.0,375000.0,1.0,30.205681,60.002324
266,149.0,461267.0,1.0,30.336763,59.982748
268,118.0,200000.0,1.0,30.282523,60.073777
270,32.0,48000.0,20.0,30.209391,60.003232
273,85.0,85000.0,3.0,30.335362,59.844032
274,111.0,220000.0,1.0,30.335362,59.844032
275,90.0,200000.0,17.0,30.332298,59.821956
276,51.0,70000.0,1.0,30.335362,59.844032
277,88.0,180000.0,1.0,30.347399,59.828197
278,100.0,210000.0,1.0,30.276091,60.002382
280,75.0,140000.0,1.0,30.347399,59.828197
281,39.0,60000.0,1.0,30.299429,59.985908
282,20.0,60000.0,1.0,30.291066,59.957575
283,109.0,163500.0,2.0,30.347399,59.828197
285,188.0,282000.0,1.0,30.328453,59.963413
286,20.0,60000.0,1.0,30.283933,60.023596
288,30.0,70000.0,1.0,30.092349,59.842327
289,20.0,60000.0,1.0,30.234184,59.944625
292,41.0,80000.0,1.0,30.490617,59.900064
295,91.0,118300.0,8.0,30.405978,59.719555
301,44.3,24365.0,2.0,30.335496,59.935732
302,73.1,40205.0,2.0,30.36126,59.923302
304,65.0,150000.0,17.0,30.347174,59.909084
306,190.2,300000.0,4.0,30.212364,59.844126
307,100.0,350000.0,5.0,30.331202,60.052703
308,20.0,80000.0,1.0,30.317782,59.864593
309,108.0,216000.0,3.0,30.210675,60.006201
311,80.8,165000.0,5.0,30.296653,59.918404
312,24.0,90000.0,3.0,30.177447,59.838019
313,115.0,149000.0,25.0,30.313739,59.959093
315,32.0,24000.0,,30.295755,59.986902
317,65.0,130000.0,9.0,30.270656,60.055767
318,156.5,160000.0,3.0,30.418851,59.970303
319,100.0,150000.0,5.0,30.225336,59.859162
321,113.6,149384.0,7.0,30.261897,59.960368
323,50.0,50000.0,4.0,30.272354,59.946631
324,90.3,199999.0,25.0,30.37133,59.955471
325,82.2,199999.0,16.0,30.244731,59.928681
326,37.0,79000.0,14.0,30.299321,60.001671
328,179.0,450000.0,8.0,30.382343,59.944287
329,57.0,85500.0,14.0,30.361413,60.042586
330,80.0,120000.0,6.0,30.360173,59.821245
332,35.0,70000.0,6.0,30.402672,60.011356
335,57.0,114000.0,6.0,30.276782,59.942831
336,81.5,163000.0,25.0,30.092349,59.842327
338,31.3,150000.0,,30.405978,59.719555
339,110.7,350000.0,4.0,30.405978,59.719555
340,93.9,420000.0,4.0,30.405978,59.719555
341,65.8,390000.0,4.0,30.405978,59.719555
343,137.0,246600.0,8.0,30.3776,59.844814
345,44.0,24200.0,2.0,30.360191,59.924758
346,44.8,24640.0,2.0,30.321698,59.929096
347,73.4,40370.0,2.0,30.303983,59.957683
348,74.4,40920.0,2.0,30.224608,59.986596
349,64.3,110000.0,9.0,30.186466,59.861593
350,117.9,200000.0,23.0,30.359041,59.808794
351,126.8,228240.0,12.0,30.248692,59.842748
352,76.0,152000.0,2.0,30.32937,59.752689
353,35.0,194000.0,4.0,30.319425,59.929989
354,85.8,104990.0,,30.280016,59.918165
355,128.0,249000.0,17.0,30.310945,59.965363
356,95.0,115000.0,16.0,30.360002,59.99948
359,27.0,95000.0,9.0,30.362311,59.924984
360,81.6,205000.0,6.0,30.247758,59.842458
361,115.0,169000.0,,30.343905,59.965966
362,100.0,135000.0,5.0,30.346366,59.917966
363,23.6,75000.0,6.0,30.252896,59.955939
365,179.0,449000.0,15.0,30.331741,59.977012
366,37.5,132000.0,25.0,30.2026,60.030245
367,68.0,129200.0,2.0,30.207648,60.034474
369,130.0,143000.0,3.0,30.359939,59.930187
371,130.4,240000.0,14.0,30.402672,60.011356
372,125.2,75120.0,,30.217988,59.99818
373,57.0,159600.0,9.0,30.332999,60.075344
376,132.3,291060.0,13.0,30.302142,59.999458
379,89.7,160000.0,28.0,30.342997,59.984238
380,70.0,320000.0,4.0,30.338353,60.007722
382,78.1,130000.0,27.0,30.333619,59.982059
384,74.0,150000.0,15.0,30.30781,59.923964
385,133.0,332500.0,26.0,30.396375,59.839782
386,81.0,115000.0,,30.347013,59.923126
387,108.0,216000.0,3.0,30.474196,59.898711
388,57.0,250000.0,8.0,30.324142,59.923482
390,108.1,160000.0,5.0,30.359454,60.042986
391,60.5,151250.0,12.0,30.302142,59.999458
392,75.0,80000.0,5.0,30.402834,60.043255
393,183.4,350000.0,6.0,30.294416,59.987353
395,134.0,140000.0,,30.276001,59.942025
396,106.0,129956.0,17.0,30.306229,59.900448
398,61.6,230000.0,5.0,30.481095,60.007389
399,77.0,120000.0,25.0,30.411682,59.9507
400,120.76,301900.0,16.0,30.090732,59.735736
401,35.0,30000.0,15.0,30.279298,59.939974
403,199.6,339320.0,19.0,30.405978,59.719555
405,54.6,100000.0,10.0,30.302142,59.999458
407,110.0,155000.0,25.0,30.331418,59.929493
408,107.0,160000.0,9.0,30.476226,59.945738
414,143.63,359075.0,16.0,30.314287,59.96534
415,49.8,80000.0,2.0,30.370153,60.050179
416,20.0,60000.0,3.0,30.370153,60.050179
417,60.0,350000.0,2.0,30.313739,59.959093
418,120.0,585000.0,5.0,30.342162,59.917186
421,25.0,45000.0,1.0,30.317314,59.909788
422,97.0,149000.0,18.0,30.371842,59.956349
423,127.0,30000.0,,30.306229,59.900448
424,86.1,155000.0,14.0,30.368563,59.885142
425,51.4,101000.0,14.0,30.274698,59.852285
427,55.9,27894.0,3.0,30.444687,60.036034
429,32.2,48300.0,6.0,30.340617,59.958417
430,110.5,166000.0,6.0,30.353355,59.911033
432,122.6,147120.0,19.0,30.406257,59.71701
433,61.2,146880.0,18.0,30.369282,59.806821
434,40.0,80000.0,9.0,30.382918,59.924172
438,130.0,210000.0,20.0,30.360173,59.821245
439,70.0,140000.0,4.0,30.360173,59.821245
440,197.0,295500.0,2.0,30.412356,59.923838
443,80.0,180000.0,,30.315778,59.936864
445,110.0,90000.0,5.0,30.332999,60.075344
446,192.0,345000.0,9.0,30.255528,59.943773
447,125.0,187500.0,10.0,30.300013,59.975292
449,53.8,60000.0,,30.367162,59.812392
453,196.3,580000.0,5.0,30.347228,59.910762
454,156.0,170000.0,12.0,30.347228,59.910762
455,40.0,65000.0,25.0,30.347228,59.910762
457,122.0,299000.0,5.0,30.418779,59.87924
458,190.0,300000.0,5.0,30.33096,60.068628
459,41.3,41300.0,26.0,30.26514,59.931057
460,20.0,49999.0,9.0,30.347462,59.853885
463,30.0,69000.0,5.0,30.334598,59.987258
464,25.0,89000.0,5.0,30.204962,60.033908
465,60.0,155000.0,5.0,30.267494,59.962724
468,120.0,200000.0,24.0,30.360937,59.924848
469,145.0,190000.0,2.0,30.204836,59.834139
471,21.0,45000.0,9.0,30.326441,60.002279
473,76.0,170000.0,18.0,30.583368,59.736004
474,116.7,240000.0,12.0,30.319416,59.984733
476,137.5,357500.0,4.0,30.436539,59.93452
478,108.0,216000.0,2.0,30.38405,59.92437
480,32.2,193200.0,6.0,30.354855,59.929632
482,147.0,175000.0,16.0,30.330457,59.851241
483,200.0,199000.0,3.0,30.326082,59.940114
484,37.8,113000.0,14.0,30.371653,59.812193
485,157.8,370000.0,4.0,30.308969,60.000906
487,75.0,82500.0,18.0,30.305996,59.949636
488,60.0,239990.0,5.0,30.305996,59.949636
489,86.0,60200.0,22.0,30.305996,59.949636
490,153.0,350000.0,7.0,30.263568,60.004307
492,75.0,226200.0,6.0,30.263173,60.005549
493,110.0,130000.0,3.0,30.405978,59.719555
494,79.0,134300.0,25.0,30.25401,59.933577
495,58.2,150000.0,17.0,30.26382,59.852565
497,180.0,499995.0,5.0,30.313811,59.966457
498,200.0,400000.0,5.0,30.376172,59.929844
506,90.0,499995.0,5.0,30.317961,60.069598
510,52.5,80000.0,13.0,30.334293,59.875411
511,134.0,150000.0,2.0,30.306094,59.896946
515,89.0,97900.0,3.0,30.439701,59.935209
519,53.6,75000.0,17.0,30.312392,60.06927
520,62.3,87220.0,9.0,30.402672,60.011356
521,105.0,160000.0,18.0,30.330457,59.851241
522,70.0,120000.0,25.0,30.373863,59.927455
524,113.0,399992.0,5.0,30.37133,59.955471
525,136.1,145000.0,5.0,30.328175,59.931833
527,37.0,65000.0,17.0,30.321536,59.985831
528,95.8,191000.0,9.0,30.318752,59.889846
529,81.1,89000.0,27.0,29.770474,59.902172
530,95.0,550000.0,3.0,30.284229,59.939068
531,75.4,226200.0,9.0,30.295261,60.004285
532,70.0,80000.0,,30.241443,60.030056
535,155.9,449993.0,5.0,30.465348,59.919581
536,49.2,147058.0,12.0,30.465348,59.919581
537,80.7,184722.0,12.0,30.416012,59.956336
538,192.4,384800.0,4.0,30.263568,60.004307
539,180.1,216120.0,5.0,30.232891,59.952074
543,31.0,60000.0,,30.262535,60.011941
544,148.0,150000.0,1.0,30.285487,59.937562
545,63.0,70000.0,16.0,30.310128,59.987226
549,104.0,120000.0,3.0,30.329702,59.997505
551,190.0,285000.0,10.0,30.342404,59.905357
553,31.3,88900.0,10.0,30.4072,59.935935
554,125.2,360000.0,18.0,30.331903,59.922242
555,26.1,69500.0,9.0,30.373693,59.812197
556,86.0,70000.0,,30.26832,59.935475
557,55.0,100000.0,10.0,30.1677,59.866734
560,162.0,202500.0,6.0,30.3299,59.831272
561,78.98,120000.0,3.0,30.340617,59.958417
563,64.0,100000.0,12.0,30.36674,59.998409
564,81.0,81000.0,25.0,29.78111,59.908385
565,45.5,100000.0,1.0,30.342404,59.905357
566,194.0,130000.0,,30.342341,59.854237
568,75.0,135000.0,4.0,30.41594,59.847268
569,161.5,209950.0,23.0,30.312185,59.936846
570,67.0,70000.0,25.0,30.328373,60.040964
571,140.0,350000.0,4.0,30.276001,59.942025
572,130.2,143220.0,25.0,30.405789,59.924258
573,99.0,170000.0,20.0,30.276001,59.942025
574,109.0,163500.0,15.0,30.315105,59.852908
575,21.9,60000.0,2.0,30.093041,59.825407
577,60.0,60000.0,10.0,30.581311,59.735704
578,140.0,224000.0,3.0,30.07176,59.731786
579,30.0,180000.0,1.0,30.318096,59.788416
580,70.8,80000.0,13.0,30.358529,59.804961
586,57.0,171000.0,8.0,30.393563,59.859922
587,119.3,139990.0,,30.476226,59.945738
589,100.0,149000.0,4.0,30.338245,59.861833
590,20.0,39000.0,3.0,30.418186,60.034978
593,52.5,50000.0,13.0,30.358107,59.806174
594,127.7,166010.0,3.0,30.262939,59.879615
595,50.0,80000.0,3.0,30.322812,59.86148
596,25.4,66040.0,1.0,30.41126,59.928217
597,40.0,69000.0,1.0,30.482685,60.00751
598,130.0,195000.0,1.0,30.212822,59.861539
600,60.0,350000.0,5.0,30.083303,59.729255
602,58.0,145000.0,3.0,30.083303,59.729255
603,150.0,400000.0,10.0,30.480889,59.9229
604,151.6,212000.0,1.0,30.312392,60.06927
605,50.0,99000.0,27.0,30.331202,59.922066
606,96.0,100000.0,11.0,30.447813,59.95593
607,31.3,62600.0,3.0,30.259966,59.969957
609,72.8,210000.0,7.0,30.37133,59.955471
610,22.0,55000.0,25.0,30.363209,59.831865
611,65.0,46800.0,2.0,30.307298,60.000294
613,84.7,145000.0,2.0,30.296402,59.955885
615,40.5,40000.0,2.0,30.387428,59.858349
616,57.2,170000.0,10.0,30.408233,59.702404
618,103.3,279000.0,5.0,30.43865,59.931936
619,100.0,170000.0,21.0,30.43865,59.931936
623,200.0,300000.0,2.0,30.26382,59.852565
625,97.5,100000.0,26.0,30.406787,59.956219
627,60.4,151000.0,5.0,30.306229,59.900448
628,139.4,370000.0,9.0,30.199195,60.038573
629,70.0,60000.0,,30.221482,60.000726
634,151.0,528500.0,11.0,30.344336,60.072094
635,49.0,63700.0,,30.442773,59.885616
639,129.0,380000.0,15.0,30.30755,59.897952
640,66.0,140000.0,19.0,30.203112,59.930791
641,55.0,137500.0,25.0,30.402672,60.011356
642,40.0,60000.0,25.0,30.49218,59.94613
643,89.1,138105.0,25.0,30.480583,59.953034
644,97.3,48553.0,,30.395028,59.831444
645,75.0,120000.0,4.0,30.395028,59.831444
646,194.0,200000.0,,30.470827,59.855692
647,120.0,336000.0,3.0,30.006264,60.054693
648,164.0,164000.0,5.0,30.374654,59.930137
