WKT	NAME	NAME_EN	NAME_RU	RAILWAY	REF	OSM_TYPE	OSM_ID
"POLYGON ((29.830979 59.8869992,29.8316005 59.8868575,29.833753 59.8863666,29.834395 59.8862202,29.8343669 59.8861892,29.830951 59.8869682,29.830979 59.8869992))"				platform		relation	"2562277"
"POLYGON ((29.8343236 59.8861161,29.8342913 59.8860804,29.8336833 59.886219,29.8321263 59.8865737,29.831468 59.8867237,29.8314559 59.8867104,29.831345 59.8867357,29.8313573 59.8867493,29.8311962 59.886786,29.8305047 59.8869436,29.8303889 59.88697,29.8304208 59.8870053,29.8343236 59.8861161))"				platform		relation	"2562278"
"POLYGON ((30.2763607 59.9430395,30.2763253 59.9429992,30.276282 59.9429482,30.2762461 59.942906,30.2742649 59.9433328,30.2743795 59.9434663,30.2763607 59.9430395))"				platform		relation	"2612932"
"POLYGON ((30.3181763 59.9051001,30.3180161 59.9050799,30.3181595 59.9047931,30.3181201 59.9047881,30.3180848 59.9047837,30.3175646 59.9058244,30.3175999 59.9058288,30.3176452 59.9058345,30.3177951 59.9055346,30.3178313 59.9055391,30.3178942 59.9055471,30.3179375 59.9055525,30.3177885 59.9058505,30.3178336 59.9058561,30.3178732 59.9058611,30.3183928 59.9048216,30.3183532 59.9048166,30.3183201 59.9048124,30.3181763 59.9051001))"				platform		relation	"2618392"
"POLYGON ((30.3179393 59.8923701,30.3178701 59.8920687,30.3178117 59.892072,30.317775 59.8920742,30.3179544 59.892856,30.3180215 59.8931483,30.3180582 59.8931462,30.3180975 59.8931439,30.3180365 59.8928781,30.3181223 59.8928731,30.3182067 59.8928682,30.3182666 59.8931296,30.3182942 59.893128,30.3183301 59.893126,30.3180857 59.892061,30.3180499 59.8920631,30.3180066 59.8920656,30.3180747 59.8923622,30.3180505 59.8923636,30.3179626 59.8923687,30.3179393 59.8923701))"				platform		relation	"2618403"
"POLYGON ((30.3511358 59.9136993,30.3512194 59.9136857,30.3512697 59.9136776,30.3513853 59.9138565,30.3514349 59.9138484,30.351478 59.9138414,30.3505782 59.9124482,30.3505431 59.9124539,30.3505027 59.9124604,30.3507133 59.9127865,30.3506502 59.9127968,30.3505702 59.9128098,30.3503608 59.9124855,30.3503134 59.9124932,30.3502714 59.9125,30.3511699 59.9138913,30.3512118 59.9138845,30.3512513 59.9138781,30.3511358 59.9136993))"				platform		relation	"2656881"
"POLYGON ((30.3313351 59.9210608,30.3338789 59.9216486,30.3339029 59.9216225,30.3339289 59.9215942,30.3338117 59.9215671,30.3338962 59.9214752,30.3340161 59.9215029,30.3340274 59.9214906,30.3340536 59.9214621,30.3317061 59.9209197,30.3314906 59.9208699,30.3314643 59.9208984,30.3314368 59.9209283,30.3317224 59.9209943,30.3317087 59.9210091,30.3316718 59.9210492,30.3316591 59.9210631,30.3313901 59.921001,30.3313591 59.9210347,30.3313351 59.9210608),(30.3327289 59.9213312,30.3327563 59.9213039,30.3329037 59.9213411,30.3328763 59.9213683,30.3327289 59.9213312))"				platform		relation	"2656886"
"POLYGON ((30.3314394 59.9217885,30.3340683 59.9222166,30.3340783 59.9221949,30.3340899 59.9221695,30.3335873 59.9220849,30.3335961 59.9220693,30.3337369 59.9220922,30.3337557 59.922067,30.3337742 59.9220391,30.3336321 59.9220161,30.3336376 59.9220051,30.3341295 59.9220869,30.334142 59.9220652,30.3341546 59.9220435,30.3315567 59.9216062,30.3315413 59.9216269,30.3315243 59.9216512,30.3320943 59.9217434,30.3320639 59.9217916,30.3320359 59.9218373,30.3314618 59.9217441,30.331451 59.9217658,30.3314394 59.9217885))"				platform		relation	"2656887"
"POLYGON ((30.369938 59.8827117,30.3699919 59.8827198,30.3700375 59.8827267,30.3701234 59.8825836,30.3701645 59.8825899,30.3701938 59.8825943,30.3701099 59.8827341,30.3701641 59.8827423,30.370207 59.8827488,30.3709112 59.8815757,30.370876 59.8815703,30.3708427 59.8815653,30.3706009 59.8819682,30.3705363 59.8819584,30.3704526 59.8819458,30.3706902 59.88155,30.370665 59.8815462,30.3706398 59.8815423,30.369938 59.8827117))"				platform		relation	"2692267"
"POLYGON ((30.3807708 59.8692828,30.3807945 59.8692919,30.3808157 59.8692999,30.3809304 59.8692242,30.380958 59.8692347,30.3809778 59.8692422,30.3808661 59.8693161,30.3808905 59.8693254,30.3809114 59.8693334,30.3830325 59.8679322,30.3830192 59.8679271,30.3829983 59.8679192,30.3827549 59.86808,30.3826758 59.8681323,30.3826626 59.8681272,30.3827416 59.868075,30.382816 59.868026,30.382794 59.8680176,30.382779 59.8680119,30.3826269 59.8681123,30.3826088 59.8681054,30.3829306 59.8678928,30.3829147 59.8678867,30.3828953 59.8678793,30.3807708 59.8692828))"				platform		relation	"2692293"
"POLYGON ((30.3013096 59.9075599,30.3039454 59.9079869,30.3040038 59.9078962,30.304059 59.9078105,30.3014232 59.9073836,30.301368 59.9074693,30.3013096 59.9075599))"				platform		relation	"2705067"
"POLYGON ((30.3222422 59.8505505,30.3221872 59.8522406,30.322305 59.8522416,30.3223987 59.8522423,30.3225287 59.8522434,30.3225837 59.8505534,30.3224642 59.8505524,30.3223736 59.8505516,30.3222422 59.8505505))"				platform		relation	"2718236"
"POLYGON ((30.4137772 59.929331,30.4166096 59.9298977,30.416638 59.9298621,30.4138056 59.9292954,30.4137924 59.9293119,30.4137772 59.929331))"				platform		relation	"2925269"
"POLYGON ((30.2921142 59.9600091,30.2922917 59.9600182,30.2924775 59.9600288,30.292717 59.9586396,30.2923846 59.9586202,30.2921142 59.9600091))"				platform		relation	"4069761"
"POLYGON ((30.3593722 59.9306102,30.3594084 59.9306018,30.3594297 59.9305968,30.3593558 59.930517,30.3594054 59.9305055,30.3594765 59.9305823,30.3595136 59.9305737,30.3595852 59.9305571,30.3596237 59.9305482,30.35955 59.9304685,30.3595919 59.9304588,30.359666 59.9305389,30.3597011 59.9305307,30.3597363 59.9305225,30.3591738 59.9299143,30.3586043 59.9292986,30.3585691 59.9293067,30.3585301 59.9293158,30.3586064 59.9293983,30.3585631 59.9294083,30.3584885 59.9293276,30.3584235 59.9293427,30.35837 59.9293551,30.3584461 59.9294375,30.3583931 59.9294498,30.3583189 59.9293696,30.3582777 59.9293792,30.3582414 59.9293876,30.358805 59.929997,30.3593722 59.9306102),(30.3589689 59.9300896,30.3590096 59.9300793,30.3591512 59.9302197,30.3591104 59.93023,30.3589689 59.9300896),(30.3592999 59.930188,30.3591529 59.9300428,30.3591974 59.9300314,30.3593444 59.9301767,30.3592999 59.930188))"				platform		relation	"5633943"
"POLYGON ((30.4340609 59.6941144,30.434108 59.6940946,30.4341476 59.694078,30.4338675 59.6939071,30.4335647 59.6937222,30.4335386 59.6937071,30.4335106 59.6936892,30.4333885 59.6936145,30.4333705 59.6936029,30.4333896 59.6935954,30.433292 59.6935335,30.4333196 59.6935227,30.4332038 59.6934495,30.4331442 59.6934119,30.4330871 59.6933758,30.4329713 59.6933026,30.4329425 59.6933139,30.4328461 59.6932516,30.4328217 59.693237,30.4327459 59.6931912,30.432697 59.6932109,30.432674 59.6931963,30.4326953 59.6931878,30.4326804 59.6931782,30.4326695 59.6931712,30.4326605 59.6931654,30.4326516 59.6931599,30.432643 59.6931547,30.4326346 59.6931495,30.4326079 59.6931332,30.4325523 59.6930992,30.4320281 59.6927758,30.4319159 59.6927091,30.4318949 59.6926961,30.4318701 59.6926806,30.4316285 59.6925302,30.4312925 59.6923206,30.4312717 59.692329,30.4312102 59.6923541,30.4311972 59.6923591,30.4340609 59.6941144))"				platform	"1"	relation	"7504026"
"POLYGON ((30.2682532 59.8514486,30.2683943 59.8514484,30.2685303 59.8514482,30.268521 59.8498512,30.2683851 59.8498514,30.2682439 59.8498516,30.2682532 59.8514486))"				platform		relation	"7945212"
"POLYGON ((30.3201381 59.9266753,30.3202126 59.9266689,30.320104 59.9263479,30.3201315 59.9263454,30.3201947 59.92634,30.3202199 59.9263379,30.3203287 59.9266596,30.320406 59.926653,30.320063 59.925599,30.3199297 59.9256109,30.3197953 59.925622,30.3200249 59.9263365,30.3201381 59.9266753),(30.3200894 59.9259962,30.3200765 59.925955,30.3201324 59.9259506,30.3201453 59.925992,30.3200894 59.9259962),(30.3199638 59.9260062,30.3199506 59.9259639,30.3200011 59.9259596,30.3200075 59.9259806,30.3200142 59.9260019,30.3199638 59.9260062))"				platform		relation	"8276303"
"POLYGON ((30.3190603 59.9265388,30.3189867 59.9265431,30.3194519 59.9282845,30.319549 59.9282781,30.3196567 59.928271,30.319215 59.9265313,30.319143 59.9265344,30.3190988 59.9265368,30.3190603 59.9265388),(30.3193029 59.9273914,30.3193275 59.9273902,30.31935 59.9273891,30.3193551 59.9274151,30.319308 59.9274174,30.3193029 59.9273914),(30.3193141 59.9274731,30.3193083 59.927447,30.3193676 59.9274437,30.3193734 59.9274699,30.3193455 59.9274714,30.3193141 59.9274731))"				platform		relation	"8362431"
"POLYGON ((30.3566917 59.9308736,30.3576919 59.930603,30.3588386 59.9302927,30.3587968 59.9302539,30.358735 59.9301966,30.3586929 59.9301576,30.357548 59.9304674,30.356546 59.9307385,30.3566464 59.9308316,30.3566917 59.9308736),(30.3578558 59.9305103,30.3577928 59.930529,30.357743 59.9304869,30.357806 59.9304682,30.3578258 59.930485,30.3578558 59.9305103),(30.3574003 59.930629,30.3573796 59.9306069,30.3573639 59.9305901,30.3574614 59.9305672,30.3574977 59.9306061,30.3574003 59.930629))"				platform		relation	"8362462"
"POLYGON ((30.3757168 59.8307009,30.3761259 59.8298626,30.3762417 59.8296251,30.3766529 59.8287825,30.3765604 59.8287707,30.3764705 59.8287592,30.3755373 59.8306786,30.37563 59.8306901,30.3757168 59.8307009))"				platform	"1"	relation	"8413205"
"POLYGON ((30.3768188 59.8288033,30.3764011 59.8296454,30.3762837 59.8298821,30.3758666 59.8307196,30.3759445 59.8307293,30.3760255 59.8307393,30.3769798 59.8288249,30.3768999 59.8288142,30.3768188 59.8288033))"				platform	"2"	relation	"8413206"
"POLYGON ((30.2568486 60.0097265,30.2556194 60.0108008,30.2556826 60.0108189,30.2557253 60.0108311,30.2558399 60.0107309,30.2561371 60.0108158,30.2560208 60.0109175,30.2560646 60.01093,30.2560982 60.0109396,30.2573328 60.0098605,30.257291 60.0098485,30.2572424 60.0098347,30.2571642 60.009903,30.2570765 60.0098779,30.2571542 60.00981,30.2571033 60.0097955,30.2570638 60.0097842,30.2569822 60.0098555,30.2569133 60.0098358,30.2569916 60.0097674,30.2569255 60.0097485,30.2568486 60.0097265),(30.2559429 60.0106417,30.2560642 60.0105361,30.256188 60.0105716,30.2563628 60.0106217,30.2562415 60.0107273,30.2559429 60.0106417))"				platform		relation	"9269450"
"POLYGON ((30.2517339 59.9878954,30.2554501 59.988178,30.2554561 59.98816,30.255462 59.9881413,30.2553142 59.9881298,30.2549243 59.9880993,30.2546464 59.9880775,30.254566 59.9880712,30.2542094 59.9880398,30.2533262 59.9879743,30.252924 59.9879427,30.252881 59.9879394,30.2528356 59.9879358,30.2517515 59.9878415,30.251742 59.9878694,30.2517339 59.9878954))"				platform		relation	"9269512"
"POLYGON ((30.3581916 59.9585411,30.3582353 59.9585343,30.3583004 59.9585241,30.3579333 59.9578553,30.3575582 59.9571874,30.3573387 59.9567967,30.3569916 59.9561787,30.3571609 59.9561549,30.3575079 59.9567727,30.3577274 59.9571634,30.3581026 59.9578314,30.3584602 59.9584356,30.3584905 59.9584299,30.3585208 59.9584242,30.3584573 59.9582698,30.3583706 59.9580701,30.35824 59.9578121,30.3578646 59.9571439,30.3576452 59.9567532,30.3572996 59.9561379,30.3574726 59.9561136,30.3578181 59.9567286,30.3580375 59.9571193,30.358413 59.9577877,30.3585451 59.9580467,30.3586389 59.9582513,30.3587038 59.9584017,30.358742 59.9583989,30.3587855 59.9583957,30.3587302 59.9582392,30.3586341 59.958028,30.3585161 59.9577732,30.3581406 59.9571047,30.3579211 59.956714,30.3575729 59.9560936,30.3575149 59.9559915,30.3574203 59.9558248,30.3575228 59.9558103,30.3575048 59.9557763,30.3574872 59.9557432,30.3574544 59.9557478,30.3574584 59.9557549,30.3574294 59.955759,30.3572779 59.9557805,30.3571163 59.9558034,30.3571792 59.9559147,30.3569913 59.9559413,30.3569972 59.9559518,30.356664 59.9559992,30.3563073 59.9560497,30.3562977 59.9560327,30.3562603 59.956038,30.3562388 59.9560317,30.3562025 59.9559675,30.3562565 59.9559599,30.356209 59.9558704,30.3562314 59.9558672,30.3561685 59.9557621,30.3561292 59.9557687,30.356115 59.9558064,30.356158 59.9558889,30.3559684 59.9559152,30.3560089 59.9559867,30.3560548 59.9560679,30.3560774 59.9560647,30.356125 59.9561486,30.3565552 59.9569088,30.3566255 59.9568988,30.3568158 59.957235,30.3566314 59.9572612,30.3566513 59.9572957,30.3566717 59.9573309,30.3567857 59.9573147,30.3567973 59.9573131,30.3568019 59.9573212,30.3568804 59.9573099,30.3570987 59.9576986,30.357117 59.957696,30.3572597 59.9579501,30.3575712 59.9584543,30.358314 59.9595869,30.3584092 59.9595699,30.3576578 59.958439,30.3573522 59.9579371,30.3564104 59.9562605,30.3565857 59.9562358,30.3569331 59.9568544,30.3571526 59.9572451,30.3575274 59.9579124,30.357702 59.9582084,30.3579434 59.9585828,30.3579822 59.958576,30.3580114 59.9585709,30.3576406 59.9578965,30.3572657 59.957229,30.3570462 59.9568383,30.3566989 59.9562199,30.3568744 59.9561952,30.3572216 59.9568134,30.357441 59.9572041,30.3578161 59.9578718,30.3581916 59.9585411))"				platform		relation	"12715182"
"POLYGON ((30.4122008 59.9283668,30.4122009 59.9283668,30.4122463 59.9283742,30.412292 59.9283817,30.4126541 59.9279187,30.4126094 59.9279101,30.412562 59.9279009,30.4125615 59.9279008,30.4122008 59.9283668))"	Заневская площадь			platform		relation	"15916796"
"POLYGON ((30.4124006 59.9284069,30.4124456 59.9284151,30.4124877 59.9284227,30.4124896 59.9284231,30.4128202 59.9280078,30.4128956 59.9279662,30.4128943 59.9279659,30.4128259 59.9279513,30.4127754 59.9279406,30.4124006 59.9284069))"	станция метро «Новочеркасская»			platform		relation	"15916797"
"POLYGON ((30.4159337 59.9250145,30.4158782 59.9249994,30.4158183 59.9249831,30.4158177 59.9249829,30.4155254 59.9252393,30.4155274 59.9252398,30.4155817 59.9252543,30.4156373 59.9252692,30.4159337 59.9250145))"	Таллинская улица			platform		relation	"15916834"
"POLYGON ((30.416377 59.9247436,30.4164267 59.9247589,30.4164935 59.9247793,30.4164943 59.9247796,30.4168222 59.9245232,30.4168204 59.9245226,30.4167648 59.9245049,30.4167096 59.9244872,30.4165027 59.9246427,30.416377 59.9247436))"	Таллинская улица			platform		relation	"15916835"
"POLYGON ((30.4190178 59.9226659,30.4189798 59.9226532,30.418919 59.9226328,30.4186294 59.9228496,30.4186851 59.9228683,30.4187283 59.9228827,30.4190178 59.9226659))"	Рижская улица			platform		relation	"15916944"
"POLYGON ((30.4196959 59.9222735,30.4197542 59.9222939,30.4198096 59.9223133,30.4201746 59.9220508,30.4201179 59.922031,30.4200609 59.9220111,30.4196959 59.9222735))"	Рижская улица			platform		relation	"15916945"
"POLYGON ((30.5610876 59.8086592,30.5611303 59.8086876,30.5614501 59.8085656,30.5639429 59.8076153,30.5640762 59.8075645,30.5640335 59.8075361,30.5610876 59.8086592))"				platform		way	"37133563"
"POLYGON ((30.2580032 60.0815655,30.2599889 60.0799591,30.2599208 60.0799382,30.259877 60.0799247,30.2578913 60.0815311,30.2580032 60.0815655))"				platform	"2"	way	"38094706"
"POLYGON ((30.2581927 60.0816899,30.2585852 60.0813724,30.2586582 60.0813135,30.2601805 60.0800823,30.2601626 60.0800768,30.2601243 60.080065,30.2581365 60.0816726,30.2581927 60.0816899))"				platform	"1"	way	"38094707"
"POLYGON ((30.5637752 59.8073642,30.5608158 59.8084945,30.5608352 59.8085074,30.5608552 59.8085206,30.5638146 59.8073903,30.5637946 59.8073771,30.5637752 59.8073642))"				platform		way	"38182308"
"POLYGON ((30.3145296 60.0155639,30.3135616 60.0173821,30.3136748 60.0173969,30.3140364 60.0167175,30.3141359 60.0167306,30.3142764 60.0164649,30.3141986 60.0164546,30.3142194 60.0164153,30.3142972 60.0164256,30.3143109 60.0164,30.3144176 60.0162007,30.314329 60.016189,30.3143009 60.0161853,30.3143926 60.0160118,30.3144174 60.0160151,30.3144872 60.0160243,30.3145676 60.0158695,30.3144868 60.0158589,30.3145911 60.0156631,30.3146354 60.0155778,30.3145296 60.0155639))"				platform	"1"	way	"39596899"
"POLYGON ((30.313115 60.0176989,30.313045 60.0178273,30.313024 60.0178657,30.3127976 60.018281,30.3127805 60.0183124,30.3125677 60.0187026,30.3123441 60.0191125,30.3122328 60.0193167,30.3121207 60.0195222,30.3122141 60.0195349,30.3132083 60.0177116,30.313115 60.0176989))"				platform		way	"39596900"
"POLYGON ((30.3530091 59.9903679,30.3530061 59.9903815,30.3530032 59.990395,30.3541161 59.9904556,30.3548373 59.9904948,30.356566 59.9905888,30.3565778 59.9905345,30.354849 59.9904405,30.3541279 59.9904013,30.353015 59.9903407,30.3530091 59.9903679))"				platform		way	"45084033"
"POLYGON ((30.4227212 59.9886129,30.4227304 59.9886313,30.4227373 59.9886451,30.4242185 59.9884605,30.4257558 59.9882688,30.4268727 59.9881296,30.4268638 59.9881118,30.4268567 59.9880974,30.4227212 59.9886129))"				platform		way	"45084210"
"POLYGON ((30.4268435 59.9879377,30.4232799 59.9883914,30.4233138 59.9884581,30.4268774 59.9880044,30.4268435 59.9879377))"				platform		way	"45084228"
"POLYGON ((30.5118095 59.9815544,30.5158649 59.9810167,30.5158564 59.9810006,30.5158393 59.9809683,30.5158308 59.9809522,30.5117754 59.9814899,30.5117839 59.981506,30.5117924 59.9815222,30.5118095 59.9815544))"				platform	"1"	way	"45084306"
"POLYGON ((30.5479201 59.9798285,30.5504929 59.9810342,30.5505463 59.9810057,30.5479735 59.9798,30.5479201 59.9798285))"				platform		way	"45084339"
"POLYGON ((30.5477481 59.9795844,30.5504346 59.9808493,30.5504835 59.9808233,30.547797 59.9795584,30.5477725 59.9795714,30.5477481 59.9795844))"				platform		way	"45084348"
"POLYGON ((30.6134941 59.7506523,30.6135481 59.7506708,30.6135783 59.7506813,30.614266 59.7501607,30.6143461 59.7501894,30.6147537 59.7498744,30.6148069 59.7498334,30.6152077 59.749504,30.6151114 59.7494738,30.6157731 59.7489541,30.6156846 59.7489268,30.6134941 59.7506523))"				platform		way	"51433073"
"POLYGON ((30.6155458 59.748884,30.6155121 59.7488736,30.6154514 59.7488549,30.6145945 59.7495215,30.6145447 59.749506,30.6143227 59.7496788,30.6140653 59.749871,30.6141377 59.7498957,30.6132542 59.7505701,30.6132918 59.750583,30.6133455 59.7506014,30.6155458 59.748884))"				platform		way	"51433074"
"POLYGON ((30.4364736 60.0163932,30.4365093 60.0165009,30.4365601 60.0164967,30.4365244 60.0163889,30.4365026 60.0163908,30.4364736 60.0163932))"	Депо Ручьи			platform		way	"56196824"
"POLYGON ((30.1260415 60.1226016,30.1260753 60.1226443,30.1300856 60.1218566,30.1300519 60.121814,30.1260415 60.1226016))"				platform	"1"	way	"72891135"
"POLYGON ((29.9465635 60.1577937,29.9425557 60.1585889,29.9425868 60.1586277,29.9435651 60.1584336,29.9465946 60.1578325,29.9465635 60.1577937))"				platform	"1"	way	"72891149"
"POLYGON ((29.9424731 60.158479,29.9425011 60.1585142,29.9465116 60.1577238,29.9464836 60.1576886,29.9461618 60.157752,29.9434104 60.1582943,29.9424731 60.158479))"				platform	"2"	way	"72891164"
"POLYGON ((30.2165437 60.1046182,30.2165743 60.1046567,30.2200704 60.1039634,30.2200397 60.1039249,30.2165437 60.1046182))"				platform		way	"72891171"
"POLYGON ((30.21665 60.1047439,30.2166879 60.1047919,30.2201914 60.104105,30.2201536 60.104057,30.21665 60.1047439))"				platform	"1"	way	"72891175"
"POLYGON ((30.3260277 59.9960973,30.3260901 59.9961182,30.3264161 59.9958511,30.3264478 59.9958618,30.3267511 59.9956406,30.326719 59.9956282,30.3275207 59.9951084,30.3275562 59.9951224,30.3278761 59.9949194,30.3278557 59.9949113,30.3282931 59.9946726,30.3283332 59.9946898,30.3284967 59.9946074,30.3284523 59.9945882,30.328403 59.9945668,30.3277348 59.9949176,30.3266767 59.9956105,30.3263578 59.9958338,30.3260277 59.9960973))"				platform	"1"	way	"72891182"
"POLYGON ((30.421418 59.7396553,30.420325 59.7418294,30.4203904 59.7418377,30.4206572 59.7413135,30.4214834 59.7396637,30.421418 59.7396553))"				platform	"2"	way	"75686095"
"POLYGON ((30.4201594 59.7418173,30.4212447 59.7396443,30.4211815 59.7396363,30.4200962 59.7418092,30.4201594 59.7418173))"				platform	"1"	way	"75686100"
"POLYGON ((30.2886086 59.8522801,30.2885955 59.852281,30.28912 59.8541998,30.2891562 59.8541974,30.2891937 59.8541948,30.2886689 59.8522759,30.2886385 59.852278,30.2886086 59.8522801))"				platform	"3"	way	"75798511"
"POLYGON ((30.3315895 59.9928282,30.3315575 59.9928122,30.3313853 59.9928984,30.3313601 59.992911,30.3313449 59.9929034,30.3295679 59.9937927,30.3293682 59.9938927,30.3289843 59.9940848,30.3290315 59.9941084,30.3315895 59.9928282))"				platform	"2"	way	"76112919"
"POLYGON ((30.1259579 60.1224714,30.1259993 60.1225238,30.1300149 60.1217372,30.1299735 60.1216848,30.1297864 60.1217215,30.1279611 60.122079,30.1269204 60.1222828,30.1259579 60.1224714))"				platform		way	"76112926"
"POLYGON ((30.4254033 59.8667934,30.4225107 59.868503,30.4225704 59.8685284,30.4226501 59.8684814,30.4229632 59.8682963,30.4235218 59.8679662,30.4236642 59.867882,30.4246259 59.8673137,30.4247741 59.8672261,30.4249088 59.8671467,30.4249389 59.8671287,30.4251884 59.8669812,30.4252356 59.867001,30.425504 59.8668332,30.4254033 59.8667934))"				platform		way	"77626769"
"POLYGON ((30.3878321 59.8068643,30.3878513 59.8068667,30.3889286 59.8047136,30.3888766 59.804707,30.3877993 59.8068601,30.3878321 59.8068643))"				platform	"1"	way	"78401296"
"POLYGON ((30.3891143 59.804747,30.3890757 59.8047421,30.3879966 59.8068952,30.388011 59.806897,30.3880352 59.8069,30.3891143 59.804747))"				platform	"2"	way	"78401301"
"POLYGON ((30.3976194 59.7872016,30.3975965 59.787196,30.3975708 59.7871954,30.3971277 59.7880826,30.3971763 59.7880887,30.3976194 59.7872016))"				platform	"1"	way	"78629595"
"POLYGON ((30.39781 59.7872229,30.397786 59.7872187,30.3977598 59.7872167,30.3973236 59.7881055,30.3973737 59.7881117,30.39781 59.7872229))"				platform	"2"	way	"78629625"
"POLYGON ((30.5406261 59.7872485,30.5383521 59.7888782,30.5384023 59.7888959,30.5390894 59.7884035,30.5391605 59.7884287,30.5396479 59.7880794,30.5396017 59.7880631,30.5392325 59.7883277,30.5392017 59.7883168,30.5406705 59.7872642,30.5406261 59.7872485))"				platform		way	"85976396"
"POLYGON ((30.5384387 59.7886275,30.5357482 59.7905559,30.5357723 59.7905645,30.5357984 59.7905737,30.5384889 59.7886453,30.5384387 59.7886275))"				platform		way	"85976416"
"POLYGON ((30.5137152 59.8063365,30.5136767 59.8063642,30.5128686 59.8069458,30.5128316 59.8069722,30.512555 59.8071696,30.5124012 59.80728,30.5117705 59.8077328,30.5116658 59.807808,30.5116936 59.8078191,30.5117181 59.8078289,30.51377 59.8063558,30.5137438 59.8063466,30.5137152 59.8063365))"				platform		way	"89128984"
"POLYGON ((30.511852 59.8078688,30.5119045 59.8078874,30.5119522 59.8079044,30.5140523 59.8064079,30.5140006 59.8063895,30.5139521 59.8063723,30.511852 59.8078688))"				platform		way	"89128985"
"POLYGON ((30.3371068 59.7300877,30.3397404 59.7318414,30.3397865 59.7318238,30.339826 59.7318088,30.3371925 59.730055,30.3371464 59.7300726,30.3371068 59.7300877))"				platform		way	"89619009"
"POLYGON ((30.3386293 59.7308851,30.3385675 59.7309168,30.3388679 59.7311136,30.3391831 59.7309913,30.3390903 59.7309271,30.3389953 59.7308614,30.3387453 59.7308436,30.3371166 59.7297378,30.33706 59.729759,30.3370308 59.7297638,30.3370024 59.7297805,30.3386293 59.7308851))"				platform		way	"91461189"
"POLYGON ((30.3642529 59.9240198,30.3642232 59.924018,30.3641958 59.9240163,30.3640597 59.9244413,30.3639714 59.9247384,30.3638138 59.9251871,30.3636089 59.9257369,30.3631675 59.9269961,30.3625648 59.9286854,30.3626971 59.9286989,30.3629731 59.927937,30.3635237 59.9264463,30.3639998 59.9250923,30.3641795 59.9244982,30.3642079 59.9242786,30.3642529 59.9240198))"				platform	"6;7"	way	"93473638"
"POLYGON ((30.3617756 59.9284301,30.3618849 59.9281438,30.3620907 59.9275687,30.3622252 59.9271625,30.3622933 59.9269785,30.362423 59.9267207,30.3626472 59.9262816,30.3629047 59.9258034,30.3633279 59.9249984,30.3634985 59.9247009,30.363587 59.9245183,30.3637941 59.9240256,30.3637402 59.9240202,30.3636859 59.9240148,30.3633396 59.9247229,30.3629801 59.925581,30.362808 59.9257472,30.36263 59.9261542,30.3624304 59.9265325,30.3622209 59.9269472,30.3616598 59.9284188,30.3617289 59.9284255,30.3617756 59.9284301))"				platform	"1"	way	"93473640"
"POLYGON ((30.3636727 59.9249431,30.3634359 59.9253927,30.3632526 59.9258491,30.3629208 59.9267722,30.36267 59.9274896,30.3622421 59.9286605,30.3624114 59.9286763,30.362812 59.9274919,30.36306 59.9267819,30.3633283 59.9260608,30.3635492 59.9254928,30.3637144 59.9249475,30.3636944 59.9249454,30.3636727 59.9249431))"				platform	"4;5"	way	"93473641"
"POLYGON ((30.3647628 59.9237761,30.3648069 59.9235348,30.364861 59.9229463,30.3648318 59.9229456,30.3648038 59.922945,30.3647519 59.9235309,30.3647226 59.9237544,30.3646828 59.9240561,30.364633 59.924416,30.3645708 59.924672,30.3644964 59.9249445,30.3639777 59.9263436,30.3633687 59.928089,30.363476 59.928098,30.3642142 59.9259771,30.3645421 59.925018,30.364643 59.9246673,30.364684 59.9244239,30.3647628 59.9237761))"				platform	"10;11"	way	"93473646"
