X	Y	NAME	NAME_EN	NAME_RU	RAILWAY	NETWORK	OPERATOR	REF	OSM_TYPE	OSM_ID
30.3114486	59.9662687				subway_entrance				node	"268479754"
30.4832161	59.9072677				subway_entrance				node	"309943041"
30.3852207	59.9242023				subway_entrance				node	"315074823"
30.383664	59.9236734	Площадь Александра Невского 2			subway_entrance				node	"316828146"
30.3601577	59.9316217				subway_entrance				node	"318455870"
30.3608521	59.9315668	Площадь Восстания - 1			subway_entrance				node	"318455877"
30.4183908	60.0352274				subway_entrance				node	"348149695"
30.2923018	59.9610394				subway_entrance				node	"353927287"
30.3189413	59.8791296				subway_entrance				node	"413927289"
30.4702143	59.8650439				subway_entrance				node	"529634631"
30.3298619	59.9343131	Невский проспект - 1			subway_entrance				node	"573384918"
30.3178165	59.9062501				subway_entrance				node	"664073013"
30.3178014	59.906323				subway_entrance				node	"664073014"
30.3490121	59.833267				subway_entrance				node	"666934478"
30.3342458	60.067223				subway_entrance				node	"667330261"
30.3216793	60.0372407				subway_entrance				node	"667330910"
30.3179891	59.8917404				subway_entrance				node	"667333214"
30.3189513	59.8792441				subway_entrance				node	"674962986"
30.3324383	60.0516336				subway_entrance				node	"698657807"
30.3328442	60.0515594				subway_entrance				node	"698657809"
30.3203667	59.9271707				subway_entrance				node	"763045997"
30.3201853	59.9270964				subway_entrance				node	"763045998"
30.4390651	59.9326802				subway_entrance				node	"836617905"
30.3479278	59.9276459				subway_entrance				node	"836617908"
30.4579949	59.8485711				subway_entrance				node	"946973292"
30.3191637	59.9562059				subway_entrance				node	"946973293"
30.3298203	59.9203844				subway_entrance				node	"950308631"
30.3295485	59.9206996				subway_entrance				node	"950308633"
30.3187181	59.9563544				subway_entrance				node	"990212227"
30.3619648	59.9293603	Площадь Восстания - 2			subway_entrance				node	"1109163066"
30.3609937	59.9292776	Площадь Восстания - 2			subway_entrance				node	"1109163125"
30.3551366	59.9313858				subway_entrance				node	"1109163128"
30.3612175	59.9298092				subway_entrance				node	"1109163132"
30.3608845	59.9297976				subway_entrance				node	"1109163144"
30.3355157	59.9225816				subway_entrance				node	"1119799048"
30.2965184	60.0023103				subway_entrance				node	"1132515960"
30.315639	60.0168122				subway_entrance				node	"1138170258"
30.3153305	60.0167318				subway_entrance				node	"1138170281"
30.4388546	59.932516				subway_entrance				node	"1172985008"
30.3476197	59.9711991				subway_entrance				node	"1426965001"
30.3471605	59.9712138				subway_entrance				node	"1427002108"
30.3215504	59.8663302				subway_entrance				node	"1478166564"
30.4670319	59.9196409				subway_entrance				node	"1479478805"
30.3550987	59.9585394	Площадь Ленина - 2			subway_entrance				node	"1508561575"
30.3495178	59.9143904				subway_entrance				node	"1645794192"
30.3007945	59.9855993				subway_entrance				node	"1646568762"
30.385375	59.9242358	Площадь Александра Невского 1			subway_entrance				node	"1652691240"
30.2548193	59.9895694				subway_entrance				node	"1669404531"
30.2555645	59.989591				subway_entrance				node	"1669404539"
30.2963845	60.0026646				subway_entrance				node	"1669412330"
30.5010264	59.8307155				subway_entrance				node	"1669544276"
30.3114167	59.9663032				subway_entrance				node	"1720800877"
30.2611952	59.8672945				subway_entrance				node	"1735167407"
30.2997962	59.9074233				subway_entrance				node	"1735167424"
30.2745693	59.9011136				subway_entrance				node	"1735167440"
30.3556161	59.955603	Площадь Ленина - 1			subway_entrance				node	"1735235519"
30.334314	60.0669835				subway_entrance				node	"1867199340"
30.3338592	60.0670728				subway_entrance				node	"1867199348"
30.3759895	59.8293092				subway_entrance				node	"1876375508"
30.375611	59.8300725				subway_entrance				node	"1876375630"
30.2917982	59.9610269				subway_entrance				node	"1933529453"
30.4702967	59.8650499				subway_entrance				node	"1984329786"
30.3475977	59.9710908				subway_entrance				node	"2036840003"
30.3661991	59.9995992				subway_entrance				node	"2036851521"
30.3962075	60.0128397				subway_entrance				node	"2036865230"
30.4184198	60.0349041				subway_entrance				node	"2036899265"
30.2784374	59.9426599				subway_entrance				node	"2045866983"
30.2781465	59.9427223				subway_entrance				node	"2045866996"
30.3179843	59.8918008				subway_entrance				node	"2050324059"
30.2585973	60.0085291				subway_entrance				node	"2050425920"
30.2585015	60.0085202				subway_entrance				node	"2050425928"
30.2586302	60.0085379				subway_entrance				node	"2050425933"
30.3179886	59.9269104				subway_entrance				node	"2056804599"
30.3707461	60.0087677				subway_entrance				node	"2061520399"
30.3705449	60.0089749				subway_entrance				node	"2061520416"
30.4420862	59.8774376				subway_entrance				node	"2079490033"
30.4418444	59.8771712				subway_entrance				node	"2079490041"
30.3495354	59.9148097				subway_entrance				node	"2080773618"
30.3360271	59.9221637				subway_entrance				node	"2082688582"
30.3692821	59.8842604				subway_entrance				node	"2087808191"
30.3792179	59.8704619				subway_entrance				node	"2087808197"
30.3791277	59.8704303				subway_entrance				node	"2087808212"
30.3691167	59.8841929				subway_entrance				node	"2087808237"
30.2615495	59.8796705				subway_entrance				node	"2112794338"
30.2617407	59.8798717				subway_entrance				node	"2112794353"
30.299056	59.9070882				subway_entrance				node	"2112824099"
30.3223184	59.8530239	Московская - 1			subway_entrance				node	"2124487499"
30.3224467	59.8497733	Московская - 2			subway_entrance				node	"2124487500"
30.4114001	59.9288559				subway_entrance				node	"2302967363"
30.2539909	59.8418797	Проспект Ветеранов - 1			subway_entrance				node	"2302983912"
30.2501653	59.8420155	Проспект Ветеранов - 2			subway_entrance				node	"2302983924"
30.268386	59.8516314	Ленинский проспект - 1		Ленинский проспект - 1	subway_entrance				node	"2303004112"
30.2683864	59.8497147	Ленинский проспект - 2			subway_entrance				node	"2303004120"
30.3197126	59.9268927				subway_entrance				node	"2526495851"
30.3195072	59.9268068				subway_entrance				node	"2526495862"
30.4236623	59.8965384				subway_entrance				node	"2856638101"
30.4237947	59.896585				subway_entrance				node	"2856638108"
30.2993809	59.9074031				subway_entrance				node	"3090777561"
30.379013	59.870308				subway_entrance				node	"3090858899"
30.3440494	59.9849194				subway_entrance				node	"3543391970"
30.2344226	59.9485254				subway_entrance				node	"3870045073"
30.2344369	59.9485494				subway_entrance				node	"3870045075"
30.2345074	59.9485843				subway_entrance				node	"3870045077"
30.3547858	59.9315835				subway_entrance				node	"4060185664"
30.3184604	59.9162567				subway_entrance				node	"4189476668"
30.31875	59.9166416				subway_entrance				node	"4189482980"
30.2593129	59.9716552				subway_entrance				node	"4486084294"
30.2595924	59.971888				subway_entrance				node	"4486084318"
30.3485946	59.9276292				subway_entrance				node	"5369186809"
30.3471105	59.970894				subway_entrance				node	"5385958208"
30.3150628	59.9360683				subway_entrance				node	"5464314991"
30.3151109	59.9360348				subway_entrance				node	"5464314995"
30.3150036	59.9361108				subway_entrance				node	"5464315008"
30.3962436	60.0127839				subway_entrance				node	"5590554594"
30.3338701	59.9340588				subway_entrance				node	"5628361759"
30.333254	59.9335859				subway_entrance				node	"5628361779"
30.3855497	59.9243485	Площадь Александра Невского 1			subway_entrance				node	"5628616544"
30.2119289	59.9727198	Зенит - 1			subway_entrance				node	"5638408166"
30.2118726	59.9712407	Зенит - 2			subway_entrance				node	"5638408167"
30.2030798	59.9882711				subway_entrance			"2"	node	"5647636715"
30.2022842	59.9883671				subway_entrance			"1"	node	"5647636717"
30.2117409	59.9712421				subway_entrance				node	"5654335817"
30.2119709	59.9712396				subway_entrance				node	"5654336034"
30.2117922	59.9727216				subway_entrance				node	"5654336065"
30.2120521	59.9727182				subway_entrance				node	"5654336086"
30.45751	59.8485708				subway_entrance				node	"5658583219"
30.327091	59.9354984	Невский проспект - 2			subway_entrance				node	"6190780853"
30.383724	59.9236282				subway_entrance				node	"6209016215"
30.3575333	59.8962727				subway_entrance				node	"6534342079"
30.3573389	59.8962673				subway_entrance				node	"6800533565"
30.397394	59.8547701	Проспект Славы - 2			subway_entrance				node	"6848736367"
30.3938611	59.8582157	Проспект Славы - 1			subway_entrance				node	"6848741005"
30.4116579	59.839319	Дунайская - 2			subway_entrance				node	"6851511621"
30.4103347	59.8406244	Дунайская - 1			subway_entrance				node	"6851511631"
30.4325323	59.8201577				subway_entrance				node	"6851538145"
30.4328088	59.8198847				subway_entrance				node	"6851538146"
30.4321913	59.8198972				subway_entrance				node	"6851538164"
30.3343892	60.0671365				subway_entrance				node	"7015402089"
30.3549738	59.9207661				subway_entrance				node	"7473385123"
30.3463389	59.9282598				subway_entrance				node	"7473625772"
30.4994488	59.830947				subway_entrance				node	"9276379764"
30.5007693	59.8304583				subway_entrance				node	"9276379768"
30.5010035	59.8303716				subway_entrance				node	"9276379771"
30.2833282	59.9480129	Спортивная - 2			subway_entrance				node	"9906539695"
30.2912293	59.9518359	Спортивная - 1			subway_entrance				node	"9906539696"
